STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bảo vệ thực vật 7620112,16.0,,,
2.0,Chăn nuôi 7620105,15.0,,,
3.0,Công nghệ thực phẩm 7540101,15.0,,,
4.0,Công nghệ sinh học 7420201,16.0,,,
5.0,Công nghệ thông tin 7480201,15.0,,,
6.0,Công nghệ kỹ thuật Môi trường 7510406,15.0,,,
7.0,ĐH Nuôi trồng thủy sản 7620301,15.0,,,
8.0,Giáo dục Tiểu học 51140202,12.0,,,
9.0,Giáo dục Mầm non 7140201,15.0,,,
10.0,Giáo dục Mầm non 51140201,12.0,,,
11.0,Giáo dục Tiểu học 7140202,16.5,,,
12.0,Giáo dục Thể chất 51140206,10.75,,,
13.0,Giáo dục Chính trị 7140205,16.0,,,
14.0,Kế toán 7340301,15.0,,,
15.0,Khoa học cây trồng 7620110,15.0,,,
16.0,Kinh tế quốc tế 7310106,15.0,,,
17.0,Kỹ thuật phần mềm 7480103,15.0,,,
18.0,Ngành Luật 7380101,17.0,,,
19.0,Ngôn ngữ Anh 7220201,18.0,,,
20.0,Phát triển nông thôn 7620116,15.0,,,
21.0,Quản trị doanh nghiệp 7340101,15.0,,,
22.0,Quản lý tài nguyên và môi trường 7850101,15.0,,,
23.0,Sư phạm Lịch sử 7140218,15.5,,,
24.0,Sư phạm Sinh học 7140213,15.0,,,
25.0,Sư phạm Toán học 7140209,15.5,,,
26.0,Sư phạm Ngữ văn 7140217,17.0,,,
27.0,Sư phạm Vật lý 7140211,15.0,,,
28.0,Sư phạm Địa lý 7140219,15.25,,,
29.0,Sư phạm Mỹ thuật 51140222,,,,
30.0,Sư phạm Tiếng Anh 7140231,22.0,,,
31.0,Sư phạm Hóa học 7140212,15.0,,,
32.0,Sư phạm Tiếng Anh 51140231,15.0,,,
33.0,Sư phạm Âm nhạc (cao đẳng) 51140221,15.25,,,
34.0,Tài chính – Ngân hàng 7340201,15.0,,,
35.0,Tài chính Doanh nghiệp 7340203,15.0,,,
36.0,Việt Nam học 7220113,16.0,,,
