STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ kỹ thuật xây dựng dân dụng và công nghiệp 7510102,,,,
2.0,"Công nghệ kỹ thuật điện, điện tử 7510301",,,,A04
3.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn) 7510201,,,,A04
4.0,Công nghệ kỹ thuật hoá học 7510401,,,,
5.0,Công nghệ thông tin 7480201,,,,A01
6.0,Công nghệ thực phẩm 7540101,,,,B00
7.0,Đông phương học 7310608,,,,
8.0,Kế toán 7340301,,,,A04
9.0,Logistics và Quản lý chuỗi cung ứng 7510605,,,,C00
10.0,Ngôn ngữ Anh 7220201,,,,D01
11.0,Quản trị doanh nghiệp 7340101,,,,C00
12.0,Quản trị dịch vụ du lịch và lữ hành 7810103,,,,C00
