STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ kỹ thuật xây dựng dân dụng và công nghiệp 7510102,15.0,,,
2.0,Công nghệ kỹ thuật ô tô 7510205,15.0,,,
3.0,Công nghệ thực phẩm 7540101,15.0,,,
4.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.0,,,
5.0,Công nghệ thông tin 7480201,15.0,,,
6.0,Dược học 7720201,21.0,,,
7.0,Hàn Quốc học 7310614,15.0,,,
8.0,Kế toán 7340301,15.0,,,
9.0,Kiến trúc 7580101,15.0,,,
10.0,Logistics và Quản lý chuỗi cung ứng 7510605,15.0,,,
11.0,Luật kinh tế 7380107,15.0,,,
12.0,Ngôn ngữ Anh 7220201,15.0,,,
13.0,Nhật Bản học 7310613,15.0,,,
14.0,Quản trị doanh nghiệp 7340101,15.0,,,
15.0,Tài chính – Ngân hàng 7340201,15.0,,,
16.0,Xã hội học 7310301,15.0,,,
