STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,"Công nghệ kỹ thuật điện, điện tử 7510301",14.0,,,
2.0,Công nghệ kỹ thuật ô tô 7510205,14.0,,,
3.0,Công nghệ thông tin 7480201,14.0,,,
4.0,Dược học 7720201,21.0,,,
5.0,Kế toán 7340301,14.0,,,
6.0,Logistics và Quản lý chuỗi cung ứng 7510605,14.0,,,
7.0,Marketing (dạy bằng tiếng Anh) 7340115,14.0,,,
8.0,Ngôn ngữ Anh 7220201,14.0,,,
9.0,Ngôn ngữ Hàn Quốc 7220210,14.0,,,
10.0,Quản trị văn phòng 7340406,14.0,,,
11.0,Quan hệ công chúng 7320108,14.0,,,
12.0,Quản trị nhà hàng và dịch vụ ăn uống 7810202,14.0,,,
13.0,Quản trị doanh nghiệp 7340101,14.0,,,
14.0,Tài chính – Ngân hàng 7340201,14.0,,,
