STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ sinh học 7420201,15.5,,,
2.0,Công tác xã hội 7760101,17.25,,,
3.0,Công nghệ thực phẩm 7540101,17.0,,,
4.0,Công nghệ kỹ thuật ô tô 7510205,20.0,,,
5.0,Công nghệ thông tin 7480201,18.25,,,
6.0,Du lịch 7810101,18.5,,,
7.0,Giáo dục Mầm non 7140201,19.0,,,
8.0,Giáo dục Tiểu học 7140202,23.75,,,
9.0,Hóa học 7440112,15.5,,,
10.0,Kế toán 7340301,21.0,,,
11.0,Kiểm toán 7340302,18.0,,,
12.0,Kiến trúc 7580101,16.0,,,
13.0,Kỹ thuật điện 7520201,16.0,,,
14.0,Kỹ thuật cơ điện tử 7520114,16.0,,,
15.0,Kỹ thuật xây dựng 7580201,16.0,,,
16.0,Kỹ thuật phần mềm 7480103,16.0,,,
17.0,Logistics và Quản lý chuỗi cung ứng 7510605,21.75,,,
18.0,Marketing (dạy bằng tiếng Anh) 7340115,22.5,,,
19.0,Ngành Luật 7380101,23.25,,,
20.0,Ngành Kỹ thuật điều khiển & Tự động hóa 7520216,16.0,,,
21.0,Ngành Kỹ thuật môi trường 7520320,15.5,,,
22.0,Ngôn ngữ Anh 7220201,20.5,,,
23.0,Ngôn ngữ Hàn Quốc 7220210,21.0,,,
24.0,Ngôn ngữ Trung Quốc 7220204,22.75,,,
25.0,Quan hệ quốc tế 7310206,18.5,,,
26.0,Quản lý tài nguyên và môi trường 7850101,15.5,,,
27.0,Quản lý nhà nước 7310205,18.0,,,
28.0,Quản lý công nghiệp 7510601,18.0,,,
29.0,Quản lý đất đai 7850103,15.5,,,
30.0,Quản trị doanh nghiệp 7340101,19.25,,,
31.0,Sư phạm Ngữ văn 7140217,23.75,,,
32.0,Tài chính – Ngân hàng 7340201,19.25,,,
33.0,Tâm lý học 7310401,22.25,,,
34.0,Thiết kế đồ họa 7210403,21.75,,,
35.0,Thương mại điện tử 7340122,21.5,,,
36.0,Toán học 7460101,15.55,,,
37.0,Truyền thông đa phương tiện 7320104,23.0,,,
