STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin C480201,13.0,,,
2.0,Công nghệ thông tin 7480201,15.0,,,
3.0,Giới và phát triển 7340103,15.0,,,
4.0,Kế toán C340301,13.0,,,
5.0,Kế toán 7340301,15.0,,,
6.0,Ngôn ngữ Anh 7220201,15.0,,,
7.0,Quản trị dịch vụ du lịch và lữ hành C340103,13.0,,,
8.0,Quản trị doanh nghiệp 7340101,15.0,,,
9.0,Quản trị kinh doanh C340101,13.0,,,
10.0,Quản trị khách sạn C340107,13.0,,,
11.0,Quản trị khách sạn 7340107,15.0,,,
12.0,Tài chính - Ngân hàng C340201,13.0,,,
13.0,Tài chính – Ngân hàng 7340201,15.0,,,
14.0,Tiếng Anh C220201,13.0,,,
