STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,15.5,,,
2.0,Công nghệ kỹ thuật hoá học 7510401,15.5,,,
3.0,Công nghệ kỹ thuật xây dựng 7510103,15.5,,,
4.0,Công tác xã hội 7760101,15.5,,,
5.0,Địa lí tự nhiên 7440217,21.0,,,
6.0,Đông phương học 7310608,,,,
7.0,Du lịch 7310630,15.5,,,
8.0,Giáo dục Thể chất 7140206,18.5,,,
9.0,Giáo dục Mầm non 7140201,21.25,,,
10.0,Giáo dục Chính trị 7140205,21.5,,,
11.0,Giáo dục Tiểu học 7140202,24.25,,,
12.0,Hóa học 7440112,21.25,,,
13.0,Kế toán 7340301,15.5,,,
14.0,Kinh tế 7310101,15.5,,,
15.0,Kỹ thuật phần mềm 7480103,,,,
16.0,Kỹ thuật điện 7520201,15.5,,,
17.0,Lịch sử 7229010,21.25,,,
18.0,Ngành Kỹ thuật điện tử truyền thông 7520207,15.5,,,
19.0,Ngành Luật 7380101,15.5,,,
20.0,Ngôn ngữ Anh 7220201,15.5,,,
21.0,Nông học 7620109,15.5,,,
22.0,Quản trị dịch vụ du lịch và lữ hành 7810103,,,,
23.0,Quản lý tài nguyên và môi trường 7850101,15.5,,,
24.0,Quản lý nhà nước 7310205,15.5,,,
25.0,Quản lý giáo dục 7140114,15.5,,,
26.0,Quản trị doanh nghiệp 7340101,15.5,,,
27.0,Quản lý đất đai 7850103,15.5,,,
28.0,Sinh học ứng dụng 7420203,,,,
29.0,Sinh hoc 7420101,23.0,,,
30.0,Sư phạm Lịch sử 7140218,21.25,,,
31.0,Sư phạm Tin học (Chuyên ngành Tin học – Công nghệ Tiểu học) 7140210,15.5,,,
32.0,Sư phạm Tiếng Anh 7140231,22.5,,,
33.0,Sư phạm Toán học 7140209,22.5,,,
34.0,Sư phạm Địa lý 7140219,21.25,,,
35.0,Sư phạm Hóa học 7140212,21.25,,,
36.0,Sư phạm Ngữ văn 7140217,23.0,,,
37.0,Sư phạm Vật lý 7140211,19.25,,,
38.0,Sư phạm Sinh học 7140213,17.0,,,
39.0,Tài chính – Ngân hàng 7340201,15.5,,,
40.0,Tâm lý học giáo dục 7310403,15.5,,,
41.0,Thống kê 7460201,,,,
42.0,Toán học 7460101,22.5,,,
43.0,Văn học 7229030,15.5,,,
44.0,Vật lý học 7440102,20.0,,,
