STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,16.0,,,
2.0,Công nghệ kỹ thuật xây dựng 7510103,15.0,,,
3.0,Công nghệ sinh học 7420201,15.0,,,
4.0,Điều dưỡng 7720301,19.0,,,
5.0,Kế toán 7340301,15.0,,,
6.0,Kinh tế nông nghiệp 7620115,15.0,,,
7.0,Kinh tế 7310101,15.0,,,
8.0,Ngôn ngữ Anh 7220201,15.0,,,
9.0,Quản trị Khách sạn - Nhà hàng 7810203,15.0,,,
10.0,Quản trị dịch vụ du lịch và lữ hành 7810103,15.0,,,
11.0,Quản trị doanh nghiệp 7340101,15.0,,,
12.0,Tài chính – Ngân hàng 7340201,15.0,,,
13.0,Y tế công cộng 7720701,15.0,,,
