STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bảo vệ thực vật 7620112,15.0,,,
2.0,Chăn nuôi 7620105,15.0,,,
3.0,Công nghệ thông tin 7480201,15.0,,,
4.0,ĐH Nuôi trồng thủy sản 7620301,15.0,,,
5.0,Giáo dục Mầm non 51140201,12.5,,,
6.0,Giáo dục Tiểu học 51140202,15.0,,,
7.0,Giáo dục Thể chất 51140206,,,,
8.0,Kế toán 7340301,15.0,,,
9.0,Khoa học môi trường 7440301,15.0,,,
10.0,Ngôn ngữ Anh 7220201,15.0,,,
11.0,Quản trị doanh nghiệp 7340101,15.0,,,
12.0,Sư phạm Tiếng Anh 51140231,10.0,,,
13.0,Tài chính – Ngân hàng 7340201,15.0,,,
14.0,Tiếng Việt & Văn hóa Việt Nam 7220101,15.0,,,
