STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bảo vệ thực vật 7620112,15.5,,,Điểm xét tuyển học bạ: 6
2.0,Chăn nuôi 7620105,15.5,,,Điểm xét tuyển học bạ: 6
3.0,Công nghệ thực phẩm 7540101,15.5,,,Điểm xét tuyển học bạ: 6
4.0,Công nghệ sinh học 7420201,15.5,,,Điểm xét tuyển học bạ: 6
5.0,Đảm bảo chất lượng và an toàn thực phẩm 7540106,15.5,,,Điểm xét tuyển học bạ: 6
6.0,Kế toán 7340301,15.5,,,Điểm xét tuyển học bạ: 6
7.0,Khoa học cây trồng 7620110,15.5,,,Điểm xét tuyển học bạ: 6
8.0,Kinh tế 7310101,15.5,,,Điểm xét tuyển học bạ: 6
9.0,Lâm sinh 7620205,15.5,,,Điểm xét tuyển học bạ: 6
10.0,Quản lý tài nguyên và môi trường 7850101,15.5,,,Điểm xét tuyển học bạ: 6
11.0,Quản lý tài nguyên rừng 7620211,15.5,,,Điểm xét tuyển học bạ: 6
12.0,Quản lý đất đai 7850103,15.5,,,Điểm xét tuyển học bạ: 6
13.0,Thú y 7640101,15.5,,,Điểm xét tuyển học bạ: 6
