STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Giáo dục Thể chất 51140206,,,,
2.0,Giáo dục Thể chất 7140206_9,17.25,,,Thí sinh KV1 - không ưu tiên
3.0,Giáo dục Thể chất 7140206_7,16.5,,,Thí sinh KV2-NT - ƯT 2
4.0,Giáo dục Thể chất 7140206_2,16.0,,,Thí sinh KV3 - ƯT 1
5.0,Giáo dục Thể chất 7140206_11,15.25,,,Thí sinh KV1 - ƯT 1
6.0,Giáo dục Thể chất 7140206_4,16.75,,,Thí sinh KV2 - ƯT 2
7.0,Giáo dục Thể chất 7140206,18.0,,,Thí sinh KV3 - không ưu tiên
8.0,Giáo dục Thể chất 7140206_10,16.25,,,Thí sinh KV1 - ƯT 2
9.0,Giáo dục Thể chất 7140206_8,15.5,,,Thí sinh KV2-NT - ƯT 1
10.0,Giáo dục Thể chất 7140206_3,17.75,,,Thí sinh KV2 - không ưu tiên
11.0,Giáo dục Thể chất 7140206_6,17.5,,,Thí sinh KV2-NT - không ưu tiên
12.0,Giáo dục Thể chất 7140206_1,17.0,,,Thí sinh KV3 - ƯT 2
13.0,Giáo dục Thể chất 7140206_5,15.75,,,Thí sinh KV2 - ƯT 1
14.0,Huấn luyện thể thao 7140207_10,16.25,,,Thí sinh KV1 - ƯT 2
15.0,Huấn luyện thể thao 7140207_3,17.75,,,Thí sinh KV2 - không ưu tiên
16.0,Huấn luyện thể thao 7140207,18.0,,,Thí sinh KV3 - không ưu tiên
17.0,Huấn luyện thể thao 7140207_5,15.75,,,Thí sinh KV2 - ƯT 1
18.0,Huấn luyện thể thao 7140207_11,15.25,,,Thí sinh KV1 - ƯT 1
19.0,Huấn luyện thể thao 7140207_4,16.75,,,Thí sinh KV2 - ƯT 2
20.0,Huấn luyện thể thao 7140207_7,16.5,,,Thí sinh KV2-NT - ƯT 2
21.0,Huấn luyện thể thao 7140207_9,17.25,,,Thí sinh KV1 - không ưu tiên
22.0,Huấn luyện thể thao 7140207_2,16.0,,,Thí sinh KV3 - ƯT 1
23.0,Huấn luyện thể thao 7140207_8,15.5,,,Thí sinh KV2-NT - ƯT 1
24.0,Huấn luyện thể thao 7140207_6,17.5,,,Thí sinh KV2-NT - không ưu tiên
25.0,Huấn luyện thể thao 7140207_1,17.0,,,Thí sinh KV3 - ƯT 2
26.0,Quản lý thể dục thể thao 7810301_7,13.5,,,Thí sinh KV2-NT - ƯT 2
27.0,Quản lý thể dục thể thao 7810301_5,12.75,,,Thí sinh KV2 - ƯT 1
28.0,Quản lý thể dục thể thao 7810301_9,14.25,,,Thí sinh KV1 - không ưu tiên
29.0,Quản lý thể dục thể thao 7810301_2,13.0,,,Thí sinh KV3 - ƯT 1
30.0,Quản lý thể dục thể thao 7810301,15.0,,,Thí sinh KV3 - không ưu tiên
31.0,Quản lý thể dục thể thao 7810301_8,12.5,,,Thí sinh KV2-NT - ƯT 1
32.0,Quản lý thể dục thể thao 7810301_1,14.0,,,Thí sinh KV3 - ƯT 2
33.0,Quản lý thể dục thể thao 7810301_11,12.25,,,Thí sinh KV1 - ƯT 1
34.0,Quản lý thể dục thể thao 7810301_4,13.75,,,Thí sinh KV2 - ƯT 2
35.0,Quản lý thể dục thể thao 7810301_6,14.5,,,Thí sinh KV2-NT - không ưu tiên
36.0,Quản lý thể dục thể thao 7810301_10,13.25,,,Thí sinh KV1 - ƯT 2
37.0,Quản lý thể dục thể thao 7810301_3,14.75,,,Thí sinh KV2 - không ưu tiên
38.0,Y sinh học thể dục thể thao 7729001_11,12.25,,,Thí sinh KV1 - ƯT 1
39.0,Y sinh học thể dục thể thao 7729001_4,13.75,,,Thí sinh KV2 - ƯT 2
40.0,Y sinh học thể dục thể thao 7729001_6,14.5,,,Thí sinh KV2-NT - không ưu tiên
41.0,Y sinh học thể dục thể thao 7729001_8,12.5,,,Thí sinh KV2-NT - ƯT 1
42.0,Y sinh học thể dục thể thao 7729001_1,14.0,,,Thí sinh KV3 - ƯT 2
43.0,Y sinh học thể dục thể thao 7729001_5,12.75,,,Thí sinh KV2 - ƯT 1
44.0,Y sinh học thể dục thể thao 7729001_7,13.5,,,Thí sinh KV2-NT - ƯT 2
45.0,Y sinh học thể dục thể thao 7729001,15.0,,,Thí sinh KV3 - không ưu tiên
46.0,Y sinh học thể dục thể thao 7729001_10,13.25,,,Thí sinh KV1 - ƯT 2
47.0,Y sinh học thể dục thể thao 7729001_3,14.75,,,Thí sinh KV2 - không ưu tiên
48.0,Y sinh học thể dục thể thao 7729001_9,14.25,,,Thí sinh KV1 - không ưu tiên
49.0,Y sinh học thể dục thể thao 7729001_2,13.0,,,Thí sinh KV3 - ƯT 1
