STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,15.5,,,"thí sinh có hộ khẩu thường trú từ 3 năm, học 3 năm liên tục và tốt nghiệp THPT tại các tỉnh/thành phố thuộc Khu vực Tây Nam Bộ, Tây Bắc, Tây Nguyên đạt từ 14.5 điểm trở lên"
2.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.5,,,"thí sinh có hộ khẩu thường trú từ 3 năm, học 3 năm liên tục và tốt nghiệp THPT tại các tỉnh/thành phố thuộc Khu vực Tây Nam Bộ, Tây Bắc, Tây Nguyên đạt từ 14.5 điểm trở lên"
3.0,Công nghệ thực phẩm 7540101,15.5,,,"thí sinh có hộ khẩu thường trú từ 3 năm, học 3 năm liên tục và tốt nghiệp THPT tại các tỉnh/thành phố thuộc Khu vực Tây Nam Bộ, Tây Bắc, Tây Nguyên đạt từ 14.5 điểm trở lên"
4.0,Công nghệ kỹ thuật xây dựng dân dụng và công nghiệp 7510102,15.5,,,"thí sinh có hộ khẩu thường trú từ 3 năm, học 3 năm liên tục và tốt nghiệp THPT tại các tỉnh/thành phố thuộc Khu vực Tây Nam Bộ, Tây Bắc, Tây Nguyên đạt từ 14.5 điểm trở lên"
5.0,ĐH Nuôi trồng thủy sản 7620301,15.5,,,"thí sinh có hộ khẩu thường trú từ 3 năm, học 3 năm liên tục và tốt nghiệp THPT tại các tỉnh/thành phố thuộc Khu vực Tây Nam Bộ, Tây Bắc, Tây Nguyên đạt từ 14.5 điểm trở lên"
6.0,Điều dưỡng 7720301,15.5,,,"thí sinh có hộ khẩu thường trú từ 3 năm, học 3 năm liên tục và tốt nghiệp THPT tại các tỉnh/thành phố thuộc Khu vực Tây Nam Bộ, Tây Bắc, Tây Nguyên đạt từ 14.5 điểm trở lên"
7.0,Du lịch 7310630,15.5,,,"thí sinh có hộ khẩu thường trú từ 3 năm, học 3 năm liên tục và tốt nghiệp THPT tại các tỉnh/thành phố thuộc Khu vực Tây Nam Bộ, Tây Bắc, Tây Nguyên đạt từ 14.5 điểm trở lên"
8.0,Dược học 7720201,15.5,,,"thí sinh có hộ khẩu thường trú từ 3 năm, học 3 năm liên tục và tốt nghiệp THPT tại các tỉnh/thành phố thuộc Khu vực Tây Nam Bộ, Tây Bắc, Tây Nguyên đạt từ 14.5 điểm trở lên"
9.0,Kế toán 7340301,15.5,,,"thí sinh có hộ khẩu thường trú từ 3 năm, học 3 năm liên tục và tốt nghiệp THPT tại các tỉnh/thành phố thuộc Khu vực Tây Nam Bộ, Tây Bắc, Tây Nguyên đạt từ 14.5 điểm trở lên"
10.0,Luật kinh tế 7380107,15.5,,,"thí sinh có hộ khẩu thường trú từ 3 năm, học 3 năm liên tục và tốt nghiệp THPT tại các tỉnh/thành phố thuộc Khu vực Tây Nam Bộ, Tây Bắc, Tây Nguyên đạt từ 14.5 điểm trở lên"
11.0,Ngôn ngữ Anh 7220201,15.5,,,"thí sinh có hộ khẩu thường trú từ 3 năm, học 3 năm liên tục và tốt nghiệp THPT tại các tỉnh/thành phố thuộc Khu vực Tây Nam Bộ, Tây Bắc, Tây Nguyên đạt từ 14.5 điểm trở lên"
12.0,Quản lý đất đai 7850103,15.5,,,"thí sinh có hộ khẩu thường trú từ 3 năm, học 3 năm liên tục và tốt nghiệp THPT tại các tỉnh/thành phố thuộc Khu vực Tây Nam Bộ, Tây Bắc, Tây Nguyên đạt từ 14.5 điểm trở lên"
13.0,Quản lý tài nguyên và môi trường 7850101,15.5,,,"thí sinh có hộ khẩu thường trú từ 3 năm, học 3 năm liên tục và tốt nghiệp THPT tại các tỉnh/thành phố thuộc Khu vực Tây Nam Bộ, Tây Bắc, Tây Nguyên đạt từ 14.5 điểm trở lên"
14.0,Quản trị dịch vụ du lịch và lữ hành 7810103,15.5,,,"thí sinh có hộ khẩu thường trú từ 3 năm, học 3 năm liên tục và tốt nghiệp THPT tại các tỉnh/thành phố thuộc Khu vực Tây Nam Bộ, Tây Bắc, Tây Nguyên đạt từ 14.5 điểm trở lên"
15.0,Quản trị doanh nghiệp 7340101,15.5,,,"thí sinh có hộ khẩu thường trú từ 3 năm, học 3 năm liên tục và tốt nghiệp THPT tại các tỉnh/thành phố thuộc Khu vực Tây Nam Bộ, Tây Bắc, Tây Nguyên đạt từ 14.5 điểm trở lên"
16.0,Tài chính – Ngân hàng 7340201,15.5,,,"thí sinh có hộ khẩu thường trú từ 3 năm, học 3 năm liên tục và tốt nghiệp THPT tại các tỉnh/thành phố thuộc Khu vực Tây Nam Bộ, Tây Bắc, Tây Nguyên đạt từ 14.5 điểm trở lên"
17.0,Thú y 7640101,,,,
18.0,Văn học 7229030,15.5,,,"thí sinh có hộ khẩu thường trú từ 3 năm, học 3 năm liên tục và tốt nghiệp THPT tại các tỉnh/thành phố thuộc Khu vực Tây Nam Bộ, Tây Bắc, Tây Nguyên đạt từ 14.5 điểm trở lên"
