STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.5,,,
2.0,Công nghệ kỹ thuật xây dựng dân dụng và công nghiệp 7510102,,,,
3.0,Công nghệ thực phẩm 7540101,16.5,,,
4.0,Công nghệ kỹ thuật điều khiển và tự động hóa 7510303,15.5,,,
5.0,Công nghệ kỹ thuật cơ điện tử 7510203,15.5,,,
6.0,Công nghệ sinh học 7420201,,,,
7.0,Hệ thống thông tin 7480104,,,,
8.0,Khoa học máy tính 7480101,,,,
9.0,Kỹ thuật phần mềm 7480103,,,,
10.0,Quản lý xây dựng 7580302,,,,
11.0,Quản lý công nghiệp 7510601,16.0,,,
