STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bảo vệ thực vật 7620112,23.0,,,
2.0,Bệnh học thủy sản 7620302,19.5,,,
3.0,Chăn nuôi 7620105,20.0,,,
4.0,Chính trị học 7310201,26.0,,,
5.0,Công nghệ rau hoa quả và cảnh quan 7620113,19.5,,,
6.0,Công nghệ thực phẳm 7540101C,24.25,,,
7.0,Công nghệ thông tin (CTCLC) 7480201C,25.75,,,
8.0,Công nghệ kỹ thuật hoá học (Chương trình chất lượng cao) 7510401C,19.5,,,
9.0,Công nghệ sinh học 7420201,25.75,,,
10.0,Công nghệ chế biến thủy sản 7540105,24.25,,,
11.0,Công nghệ sau thu hoạch 7540104,19.5,,,
12.0,Công nghệ thông tin (Đào tạo tại Khu Hòa An) 7480201H,24.25,,,
13.0,Công nghệ sinh học (Chương trình tiên tiến) 7420201T,21.0,,,
14.0,Công nghệ thực phẩm 7540101,28.0,,,
15.0,Công nghệ kỹ thuật hoá học 7510401,26.0,,,
16.0,Công nghệ thông tin 7480201,28.5,,,
17.0,ĐH Nuôi trồng thủy sản 7620301,22.5,,,
18.0,ĐH Toán ứng dụng 7460112,22.0,,,
19.0,Giáo dục Tiểu học 7140202,27.75,,,
20.0,Giáo dục Thể chất 7140206,29.25,,,
21.0,Giáo dục Công dân 7140204,25.25,,,
22.0,Hệ thống thông tin 7480104,25.75,,,
23.0,Hoá dược 7720203,28.0,,,
24.0,Hóa học 7440112,21.5,,,
25.0,Kế toán 7340301,28.5,,,
26.0,Khoa học đất 7620103,19.5,,,
27.0,Khoa học môi trường 7440301,19.5,,,
28.0,Khoa học máy tính 7480101,27.0,,,
29.0,Khoa học cây trồng 7620110,19.5,,,
30.0,Kiểm toán 7340302,27.5,,,
31.0,Kinh tế tài nguyên thiên nhiên 7850102,24.5,,,
32.0,Kinh tế 7310101,28.25,,,
33.0,Kinh tế nông nghiệp 7620115,26.0,,,
34.0,Kinh doanh nông nghiệp (Đào tạo tại Khu Hòa An) 7620114H,19.5,,,
35.0,Kinh doanh thương mại 7340121,28.25,,,
36.0,Kinh tế nông nghiệp (Đào tạo tại Khu Hòa An) 7620115H,22.0,,,
37.0,Kinh doanh quốc tế (Chương trình chất lượng cao) 7340120C,27.0,,,
38.0,Kỹ thuật xây dựng công trình thủy 7580202,19.5,,,
39.0,Kỹ thuật Điện (CTCLC) 7520201C,19.5,,,
40.0,Kỹ thuật cơ khí 7520103,25.5,,,
41.0,Kỹ thuật xây dựng công trình giao thông 7580205,21.25,,,
42.0,Kỹ thuật phần mềm 7480103,27.5,,,
43.0,Kỹ thuật xây dựng (Chương trình chất lượng cao) 7580201C,22.0,,,
44.0,Kỹ thuật điện 7520201,25.25,,,
45.0,Kỹ thuật xây dựng 7580201,25.25,,,
46.0,Kỹ thuật cơ điện tử 7520114,25.5,,,
47.0,Kỹ thuật vật liệu 7520309,20.75,,,
48.0,Kỹ thuật máy tính 7480106,24.5,,,
49.0,Luật (Chuyên ngành Luật Hành chính); Học tại khu Hòa An - Tỉnh Hậu Giang 7380101H,25.75,,,
50.0,Mạng máy tính và truyền thông dữ liệu 7480102,25.25,,,
51.0,Marketing (dạy bằng tiếng Anh) 7340115,29.0,,,
52.0,Ngành Kỹ thuật môi trường 7520320,19.5,,,
53.0,Ngành Kỹ thuật điều khiển & Tự động hóa 7520216,26.0,,,
54.0,Ngành Luật 7380101,27.25,,,
55.0,Ngành Kinh doanh quốc tế 7340120,29.0,,,
56.0,Ngành Kỹ thuật điện tử truyền thông 7520207,23.5,,,
57.0,Ngôn ngữ Anh (CTCLC) 7220201C,26.25,,,
58.0,Ngôn ngữ Pháp 7220203,24.0,,,
59.0,Ngôn ngữ Anh (Đào tạo tại Khu Hòa An) 7220201H,26.0,,,
60.0,Ngôn ngữ Anh 7220201,27.75,,,
61.0,Nông học 7620109,21.75,,,
62.0,Nuôi trồng thuỷ sản (chương trình tiên tiến) 7620301T,19.5,,,
63.0,Quản lý thủy sản 7620305,19.5,,,
64.0,Quản trị kinh doanh (Đào tạo tại Khu Hòa An) 7340101H,26.25,,,
65.0,Quản lý đất đai 7850103,25.25,,,
66.0,Quản lý công nghiệp 7510601,26.75,,,
67.0,Quản lý tài nguyên và môi trường 7850101,23.0,,,
68.0,Quản trị doanh nghiệp 7340101,28.75,,,
69.0,Quản trị dịch vụ du lịch và lữ hành 7810103,28.0,,,
70.0,Sinh học ứng dụng 7420203,19.5,,,
71.0,Sinh hoc 7420101,19.5,,,
72.0,Sư phạm Sinh học 7140213,27.75,,,
73.0,Sư phạm Tin học (Chuyên ngành Tin học – Công nghệ Tiểu học) 7140210,27.75,,,
74.0,Sư phạm Lịch sử 7140218,26.0,,,
75.0,Sư phạm Toán học 7140209,24.0,,,
76.0,Sư phạm Ngữ văn 7140217,26.0,,,
77.0,Sư phạm Tiếng Anh 7140231,24.25,,,
78.0,Sư phạm Hóa học 7140212,25.0,,,
79.0,Sư phạm Địa lý 7140219,28.0,,,
80.0,Sư phạm Tiếng Pháp 7140233,27.75,,,
81.0,Sư phạm Vật lý 7140211,29.0,,,
82.0,Tài chính – Ngân hàng 7340201,28.75,,,
83.0,Tài chính – Ngân hàng (Chương trình chất lượng cao) 7340201C,26.25,,,
84.0,Thông tin - thư viện 7320201,21.5,,,
85.0,Thú y 7640101,27.75,,,
86.0,Triết học 7229001,24.0,,,
87.0,Văn học 7229030,25.75,,,
88.0,Vật lý kỹ thuật 7520401,19.5,,,
89.0,Việt Nam học (Học tại khu Hòa An) 7310630H,24.75,,,
90.0,Việt Nam học 7310630D,27.25,,,
91.0,Xã hội học 7310301,26.25,,,
