STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Điều dưỡng 7720301,,,38645000.0,
2.0,Điều dưỡng 7720301,23.45,B00,38645000.0,
3.0,Dược học 7720201,24.78,B00,49685000.0,
4.0,Dược học 7720201,,,49685000.0,
5.0,Hộ sinh 7720302,,,33110000.0,
6.0,Hộ sinh 7720302,22.35,B00,33110000.0,
7.0,Kỹ thuật hình ảnh y học 7720602,23.75,B00,33110000.0,
8.0,Kỹ thuật xét nghiệm y học 7720601,24.38,B00,38645000.0,
9.0,Kỹ thuật hình ảnh y học 7720602,,,33110000.0,
10.0,Kỹ thuật xét nghiệm y học 7720601,,,38645000.0,
11.0,Răng- Hàm -Mặt 7720501,25.65,B00,49150000.0,
12.0,Răng- Hàm -Mặt 7720501,,,49150000.0,
13.0,Y học dự phòng 7720110,22.7,B00,44152000.0,
14.0,Y khoa 7720101,25.7,B00,49150000.0,
15.0,Y khoa 7720101,,,49150000.0,
16.0,Y tế công cộng 7720701,19.2,B00,33110000.0,
17.0,Y học cổ truyền 7720115,24.48,B00,44152000.0,
18.0,Y học cổ truyền 7720115,,,44152000.0,
