STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Ngôn ngữ Hàn Quốc 7220210,25.08,,,
2.0,Ngôn ngữ Anh 7220201LT,25.08,,,
3.0,Ngôn ngữ Anh 7220201,25.08,,,
4.0,Ngôn ngữ Pháp 7220203,23.5,,,
5.0,Ngôn ngữ Nga 7220202,22.83,,,
6.0,Ngôn ngữ Nhật 7220209,26.67,,,
7.0,Ngôn ngữ Trung Quốc 7220204,24.5,,,
8.0,Quốc tế học 7220212,24.0,,,
9.0,Sư phạm Tiếng Anh 7140231LT,29.0,,,
10.0,Sư phạm Tiếng Pháp 7140233,22.92,,,
11.0,Sư phạm Tiếng Trung Quốc 7140234,23.75,,,
12.0,Sư phạm Tiếng Anh 7140231,29.0,,,
13.0,Việt Nam học 7220113,23.33,,,
