STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Hệ thống thông tin 7340405,18.0,,,
2.0,Kế toán (liên thông) 7340301LT,21.75,,,
3.0,Kế toán 7340301,21.75,,,
4.0,Kiểm toán 7340302,20.75,,,
5.0,Kinh tế nông nghiệp 7620115,17.25,,,
6.0,Kinh doanh thương mại 7340121,19.25,,,
7.0,Kinh doanh nông nghiệp 7620114,16.5,,,
8.0,Kinh tế 7310101,19.0,,,
9.0,Marketing (dạy bằng tiếng Anh) 7340115,19.5,,,
10.0,Quản trị kinh doanh 1)340101 LT,20.75,,,
11.0,Quản trị doanh nghiệp 7340101,20.75,,,
12.0,Quản trị nhân lực 7340404,18.75,,,
13.0,Song ngành Kinh tế - Tài chính 7903124,16.75,,,
14.0,Tài chính - Ngân hàng L340201,16.0,,,
15.0,Tài chính – Ngân hàng 7340201,19.5,,,
