STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bảo vệ thực vật 7620112,15.0,,,
2.0,Bất động sản 7340116,15.0,,,
3.0,Bệnh học thủy sản 7620302,15.0,,,
4.0,Chăn nuôi 7620105,17.0,,,
5.0,Công nghệ thực phẩm 7540101,18.0,,,
6.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn) 7510201,15.0,,,
7.0,Công nghệ chế biến lâm sản 7549001,15.0,,,
8.0,Công nghệ sau thu hoạch 7540104,15.0,,,
9.0,Đảm bảo chất lượng và an toàn thực phẩm 7540106,15.0,,,
10.0,ĐH Nuôi trồng thủy sản 7620301,15.0,,,
11.0,Khoa học cây trồng 7620110,15.0,,,
12.0,Khuyến nông 7620102,15.0,,,
13.0,Kinh doanh và khởi nghiệp nông thôn 7620119,15.0,,,
14.0,Kỹ thuật cơ điện tử 7520114,15.0,,,
15.0,Kỹ thuật cơ sở hạ tầng 7580210,15.0,,,
16.0,Kỹ thuật trắc địa – bản đồ 7520503,15.0,,,
17.0,Lâm học 7620201,15.0,,,
18.0,Nông nghiệp công nghệ cao 7620118,15.0,,,
19.0,Nông học 7620109,15.0,,,
20.0,Phát triển nông thôn 7620116,15.0,,,
21.0,Quản lý đất đai 7850103,15.0,,,
22.0,Quản lý thủy sản 7620305,15.0,,,
23.0,Quản lý tài nguyên rừng 7620211,15.0,,,
24.0,Sinh học ứng dụng 7420203,15.0,,,
25.0,Thú y 7640101,19.0,,,
