STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Điêu khắc 7210105,18.5,H00,13500000.0,
2.0,Điêu khắc 7210105,,,13500000.0,
3.0,Hội hoạ 7210103,,,13500000.0,
4.0,Hội hoạ 7210103,18.5,H00,13500000.0,
5.0,Sư phạm Mỹ thuật 7140222,21.0,H00,14100000.0,
6.0,Sư phạm Mỹ thuật 7140222,,,14100000.0,
7.0,Thiết kế thời trang 7210404,,,13500000.0,
8.0,Thiết kế thời trang 7210404,18.5,H00,13500000.0,
9.0,Thiết kế nội thất 7580108,,,16400000.0,
10.0,Thiết kế đồ họa 7210403,18.5,H00,13500000.0,
11.0,Thiết kế đồ họa 7210403,,,13500000.0,
12.0,Thiết kế nội thất 7580108,18.5,H00,16400000.0,
