STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ kỹ thuật Môi trường 7510406,14.0,,,
2.0,Công nghệ thông tin 7480201,13.5,,,
3.0,Du lịch 7810101,,,,
4.0,Kinh tế xây dựng 7580301,13.0,,,
5.0,Kỹ thuật điện 7520201,14.0,,,
6.0,Kỹ thuật xây dựng 7580201,14.0,,,
7.0,Ngành Kỹ thuật điều khiển & Tự động hóa 7520216,15.0,,,
8.0,Ngôn ngữ Anh 7220201,19.75,,,
9.0,Quản trị doanh nghiệp 7340101,18.0,,,
10.0,Quản trị dịch vụ du lịch và lữ hành 7810103,18.0,,,
11.0,Thiết kế đồ họa 7210403,,,,
