STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Giáo dục Tiểu học 7140202TA,18.5,,,
2.0,Giáo dục Chính trị 7140205,18.5,,,
3.0,Giáo dục Pháp luật 7140248,18.5,,,
4.0,Giáo dục Công dân 7140204,18.5,,,
5.0,Giáo dục Tiểu học 7140202,18.5,,,
6.0,Giáo dục Mầm non 7140201,19.0,,,
7.0,Giáo dục Quốc phòng - An ninh 7140208,18.5,,,
8.0,Hệ thống thông tin 7480104,15.0,,,
9.0,Sư phạm Sinh học 7140213,18.5,,,
10.0,Sư phạm Âm nhạc 7140221,18.0,,,
11.0,Sư phạm khoa học tự nhiên 7140247,18.5,,,
12.0,Sư phạm Toán học 7140209TA,18.5,,,
13.0,Sư phạm Ngữ văn 7140217,18.5,,,
14.0,Sư phạm Lịch sử - Địa lý 7140249,18.5,,,
15.0,Sư phạm Tin học 7140210TA,18.5,,,
16.0,Sư phạm Vật lý 7140211TA,18.5,,,
17.0,Sư phạm Sinh học 7140213TA,18.5,,,
18.0,Sư phạm Tin học (Chuyên ngành Tin học – Công nghệ Tiểu học) 7140210,18.5,,,
19.0,Sư phạm Vật lý 7140211,18.5,,,
20.0,Sư phạm Địa lý 7140219,18.5,,,
21.0,Sư phạm công nghệ 7140246,19.0,,,
22.0,Sư phạm Toán học 7140209,18.5,,,
23.0,Sư phạm Hoá học 7140212TA,18.5,,,
24.0,Sư phạm Lịch sử 7140218,18.5,,,
25.0,Sư phạm Hóa học 7140212,18.5,,,
26.0,Tâm lý học giáo dục 7310403,15.0,,,
27.0,"Vật lý (đào tạo theo chương trình tiên tiến, giảng dạy bằng tiếng Anh theo chương trinh đào tạo của Trường ĐH Virginia, Hoa Kỳ) T140211",15.0,,,
