STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Báo chí 7320101,16.5,,,
2.0,Công nghệ thông tin 7480201,17.0,,,
3.0,Công nghệ kỹ thuật hoá học 7510401,15.0,,,
4.0,Công tác xã hội 7760101,15.0,,,
5.0,Công nghệ sinh học 7420201,16.0,,,
6.0,ĐH Toán ứng dụng 7460112,16.0,,,
7.0,Điện tử - viễn thông 7510302,15.25,,,
8.0,Đông phương học 7310608,15.25,,,
9.0,Hán - Nôm 7220104,15.0,,,
10.0,Hóa học 7440112,15.0,,,
11.0,Khoa học môi trường 7440301,15.25,,,
12.0,Kiến trúc 7580101,16.5,,,
13.0,Kỹ thuật địa chất 7520501,15.25,,,
14.0,Kỹ thuật sinh học 7420202,16.0,,,
15.0,Kỹ thuật phần mềm 7480103,16.5,,,
16.0,Lịch sử 7229010,15.5,,,
17.0,Ngành Kỹ thuật môi trường 7520320,15.25,,,
18.0,Quản lý tài nguyên và môi trường 7850101,15.25,,,
19.0,Quản lý nhà nước 7310205,15.0,,,
20.0,Quản trị và phân tích dữ liệu 7480107 (trước 2023),16.0,,,
21.0,Triết học 7229001,15.0,,,
22.0,Văn học 7229030,15.0,,,
23.0,Xã hội học 7310301,15.0,,,
