STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Điều dưỡng 7720501LT,21.75,,,
2.0,Điều dưỡng 7720301,20.75,,,
3.0,Dinh dưỡng 7720401,26.0,,,
4.0,Dược học 7720201,24.0,,,
5.0,Kỹ thuật hình ảnh y học 7720330LT,22.75,,,
6.0,Kỹ thuật hình ảnh y học 7720330,22.75,,,
7.0,Kỹ thuật xét nghiệm y học 7720601,25.75,,,
8.0,Răng- Hàm -Mặt 7720501,21.75,,,
9.0,Xét nghiệm y học 7720332,22.0,,,
10.0,Xét nghiệm y học 7720332LT,22.0,,,
11.0,Y học dự phòng 7720103,22.5,,,
12.0,Y khoa 7720101,26.5,,,
