STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Điều dưỡng 7720301,,,34400000.0,
2.0,Điều dưỡng 7720301,19.9,"B00, B08",34400000.0,
3.0,Dinh dưỡng 7720401,,,32000000.0,
4.0,Dinh dưỡng 7720401,15.0,"B00, B08",32000000.0,
5.0,Dược học 7720201,,,48900000.0,
6.0,Dược học 7720201,24.55,"A00, B00",48900000.0,
7.0,Hộ sinh 7720302,,,32000000.0,
8.0,Hộ sinh 7720302,29.0,"B00, B08",32000000.0,
9.0,Kỹ thuật xét nghiệm y học 7720601,,,34400000.0,
10.0,Kỹ thuật xét nghiệm y học 7720601,21.7,"B00, B08",34400000.0,
11.0,Kỹ thuật hình ảnh y học 7720602,,,34400000.0,
12.0,Kỹ thuật hình ảnh y học 7720602,19.8,"A00, B00",34400000.0,
13.0,Răng- Hàm -Mặt 7720501,,,48900000.0,
14.0,Răng- Hàm -Mặt 7720501,25.95,B00,48900000.0,
15.0,Y học dự phòng 7720110,,,34400000.0,
16.0,Y học dự phòng 7720110,19.0,"B00, B08",34400000.0,
17.0,Y tế công cộng 7720701,,,29300000.0,
18.0,Y học cổ truyền 7720115,,,44000000.0,
19.0,Y tế công cộng 7720701,15.0,"B00, B08",29300000.0,
20.0,Y học cổ truyền 7720115,23.5,B00,44000000.0,
21.0,Y khoa 7720101,,,48900000.0,
22.0,Y khoa 7720101,26.3,B00,48900000.0,
