STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin C480201,,,,
2.0,Công nghệ thông tin 7480201,,,,
3.0,"Công nghệ kĩ thuật điện, điện tử C510301",,,,
4.0,"Công nghệ kỹ thuật điện, điện tử 7510301",,,,
5.0,Kế toán C340301,,,,
6.0,Ngôn ngữ Anh 7220201,,,,
7.0,Ngôn ngữ Trung Quốc 7220204,,,,
8.0,Tài chính – Ngân hàng 7340201,,,,
9.0,Tài chính - Ngân hàng C340201,,,,
10.0,Tiếng Anh C220201,,,,
11.0,Tiếng Trung C220204,,,,
12.0,Văn học 7220330,,,,
13.0,Việt Nam học 7220113,,,,
14.0,Việt Nam học C220113,,,,
