STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,An toàn thông tin (Phía Bắc) 7480202|01A01,23.46,,,
2.0,An toàn thông tin (Phía Bắc) 7480202|01A00,28.03,,,
3.0,An toàn thông tin (Phía Nam) 7480202|02A01,23.65,,,
4.0,An toàn thông tin (Phía Nam) 7480202|02A00,27.45,,,
5.0,Gửi đào tạo ngành Y 7860100|00B00,25.75,,,
6.0,Nghiệp vụ cảnh sát (Nữ) 7860100|10A01,27.7,,,
7.0,Nghiệp vụ cảnh sát (Nam) 7860100|20A01,21.54,,,
8.0,Nghiệp vụ cảnh sát (Nữ) 7860100|10D01,28.18,,,
9.0,Nghiệp vụ cảnh sát (Nữ) 7860100|10C03,28.1,,,
10.0,Nghiệp vụ cảnh sát (Nam) 7860100|20D01,21.78,,,
11.0,Nghiệp vụ cảnh sát (Nam) 7860100|20C03,20.66,,,
