STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Ngành An toàn thông tin (Phía Nam - Nam) 7480202|22A00,23.14,,,
2.0,Ngành An toàn thông tin (Phía Bắc - Nam) 7480202|21A01,26.55,,,
3.0,Ngành An toàn thông tin (Phía Nam - Nữ) 7480202|12A00,24.94,,,
4.0,Ngành An toàn thông tin (Phía Bắc - Nam) 7480202|21A00,27.69,,,
5.0,Ngành An toàn thông tin (Phía Nam - Nam) 7480202|22A01,24.86,,,
6.0,Ngành An toàn thông tin (Phía Bắc - Nữ) 7480202|11A01,29.39,,,
7.0,Ngành An toàn thông tin (Phía Bắc - Nữ) 7480202|11A00,27.28,,,
8.0,Ngành An toàn thông tin (Phía Nam - Nữ) 7480202|12A01,26.8,,,
9.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23C03|8,20.25,,,
10.0,Nghiệp vụ An ninh (Địa bàn 3 - Nam) 7860100|23D01|3,26.08,,,
11.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23A00|8,22.63,,,
12.0,Nghiệp vụ An ninh (Địa bàn 1 - Nam) 7860100|23A00|1,26.2,,,
13.0,Nghiệp vụ An ninh (Địa bàn 1 - Nữ) 7860100|13A01|1,29.99,,,
14.0,Nghiệp vụ An ninh (Địa bàn 1 - Nữ) 7860100|13D01|1,29.26,,,
15.0,Nghiệp vụ An ninh (Địa bàn 2 - Nữ) 7860100|13A00|2,28.01,,,
16.0,Nghiệp vụ An ninh (Địa bàn 2 - Nữ) 7860100|13C03|2,28.69,,,
17.0,Nghiệp vụ An ninh (Địa bàn 3 - Nam) 7860100|23A00|3,26.15,,,
18.0,Nghiệp vụ An ninh (Địa bàn 3 - Nữ) 7860100|13A01|3,28.16,,,
19.0,Nghiệp vụ An ninh (Địa bàn 1 - Nam) 7860100|23C03|1,26.66,,,
20.0,Nghiệp vụ An ninh (Địa bàn 2 - Nam) 7860100|23A01|2,26.73,,,
21.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23A01|8,21.96,,,
22.0,Nghiệp vụ An ninh (Địa bàn 3 - Nữ) 7860100|13A00|3,26.09,,,
23.0,Nghiệp vụ An ninh (Địa bàn 1 - Nam) 7860100|23A01|1,27.24,,,
24.0,Nghiệp vụ An ninh (Địa bàn 2 - Nam) 7860100|23A00|2,26.51,,,
25.0,Nghiệp vụ An ninh (Địa bàn 2 - Nữ) 7860100|13A01|2,29.84,,,
26.0,Nghiệp vụ An ninh (Địa bàn 3 - Nam) 7860100|23C03|3,27.2,,,
27.0,Nghiệp vụ An ninh (Địa bàn 3 - Nữ) 7860100|13D01|3,28.2,,,
28.0,Nghiệp vụ An ninh (Địa bàn 1 - Nữ) 7860100|13A00|1,27.81,,,
29.0,Nghiệp vụ An ninh (Địa bàn 1 - Nữ) 7860100|13C03|1,28.55,,,
30.0,Nghiệp vụ An ninh (Địa bàn 2 - Nam) 7860100|23D01|2,26.49,,,
31.0,Nghiệp vụ An ninh (Địa bàn 3 - Nữ) 7860100|13C03|3,28.41,,,
32.0,Nghiệp vụ An ninh (Địa bàn 1 - Nam) 7860100|23D01|1,27.56,,,
33.0,Nghiệp vụ An ninh (Địa bàn 2 - Nam) 7860100|23C03|2,27.08,,,
34.0,Nghiệp vụ An ninh (Địa bàn 2 - Nữ) 7860100|13D01|2,29.3,,,
35.0,Nghiệp vụ An ninh (Địa bàn 3 - Nam) 7860100|23A01|3,26.34,,,
36.0,Y khoa (Nam - Miền Bắc) 7720101|21B00,24.45,,,
37.0,Y khoa (Nam - Miền Nam) 7720101|22B00,23.05,,,
