STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Nghiệp vụ An ninh (Địa bàn 8 - Nữ) 7860100|13A00|8,18.1,,,
2.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13C03|7,23.66,,,
3.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13A01|4,24.16,,,
4.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23D01|5,20.45,,,
5.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23D01|7,21.14,,,
6.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23C03|4,20.6,,,
7.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23A01|5,20.45,,,
8.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23A00|4,20.6,,,
9.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13D01|5,24.14,,,
10.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13A01|6,22.37,,,
11.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13A00|5,24.14,,,
12.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23C03|6,18.62,,,
13.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23A01|7,21.14,,,
14.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23A01|8,19.2,,,
15.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23A00|6,18.62,,,
16.0,Nghiệp vụ An ninh (Địa bàn 8 - Nữ) 7860100|13C03|8,18.1,,,
17.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13D01|4,24.16,,,
18.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13A01|5,24.14,,,
19.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23D01|6,18.62,,,
20.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13A00|4,24.16,,,
21.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23C03|5,20.45,,,
22.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23A01|6,18.62,,,
23.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23A00|5,20.45,,,
24.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13C03|6,22.37,,,
25.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13D01|7,23.66,,,
26.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13A00|7,23.66,,,
27.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13C03|4,24.16,,,
28.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23D01|4,20.6,,,
29.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23D01|8,19.2,,,
30.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23A01|4,20.6,,,
31.0,Nghiệp vụ An ninh (Địa bàn 8 - Nữ) 7860100|13A01|8,18.1,,,
32.0,Nghiệp vụ An ninh (Địa bàn 8 - Nữ) 7860100|13D01|8,18.1,,,
33.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13D01|6,22.37,,,
34.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13A01|7,23.66,,,
35.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13C03|5,24.14,,,
36.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13A00|6,22.37,,,
37.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23C03|7,21.14,,,
38.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23C03|8,19.2,,,
39.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23A00|8,19.2,,,
40.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23A00|7,21.14,,,
