STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,An toàn không gian số - Cyber Security (CT tiên tiến) IT-E15,27.44,,,
2.0,Chương trình tiên tiến KHKT Vật liệu MS-E3,23.99,,,
3.0,Chương trình tiên tiến Kỹ thuật Hóa dược CH-E11,26.4,,,
4.0,Chương trình tiên tiến Kỹ thuật Ô tô TE-E2,26.11,,,
5.0,Chương trình tiên tiến Điện tử - Viễn thông ET-E4,26.59,,,
6.0,Chương trình tiên tiến Hệ thống điện và năng lượng tái tạo EE-E18,25.71,,,
7.0,Chương trình tiên tiến Khoa học dữ liệu và Trí tuệ nhân tạo IT-E10,28.04,,,
8.0,Chương trình tiên tiến Kỹ thuật Thực phẩm BF-E12,24.44,,,
9.0,Chương trình tiên tiến Cơ điện tử ME-E1,26.3,,,
10.0,Chương trình tiên tiến Logistics và Quản lý chuỗi cung ứng EM-E14,26.3,,,
11.0,Chương trình tiên tiến Hệ thống nhúng thông minh và IoT ET-E9,26.93,,,
12.0,Chương trình tiên tiến Điều khiển - Tự động hóa và Hệ thống điện EE-E8,27.26,,,
13.0,Chương trình tiên tiến Phân tích kinh doanh EM-E13,25.55,,,
14.0,Chương trình tiên tiến Kỹ thuật Y sinh ET-E5,25.88,,,
15.0,Cơ khí - Chế tạo máy - ĐH Griffith (Úc) ME-GU,23.88,,,
16.0,Cơ điện tử - ĐH Nagaoka (Nhật Bản) ME-NUT,24.88,,,
17.0,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV) TE-EP,24.76,,,
18.0,Cơ điện tử - ĐH Leibniz Hannover (Đức) ME-LUH,25.16,,,
19.0,Công nghệ thông tin ICT IT-E7,27.85,,,
20.0,Công nghệ giáo dục ED2,24.8,,,
21.0,Công nghệ thông tin Việt-Nhật IT-E6,27.4,,,
22.0,Công nghệ thông tin (Việt - Pháp) IT-EP,27.19,,,
23.0,Điện tử - Viễn thông - ĐH Leibniz Hannover (Đức) ET-LUH,25.13,,,
24.0,Hệ thống thông tin quản lý MI2,27.0,,,
25.0,Hóa học CH2,24.96,,,
26.0,Kế toán EM4,25.76,,,
27.0,Khoa học Máy tính IT1,28.43,,,
28.0,Khoa học máy tính - ĐH Troy (Hoa Kỳ) TROY-IT,25.5,,,
29.0,Kinh tế công nghiệp EM1 (trước 2023),25.65,,,
30.0,Kỹ thuật Cơ khí ME2,25.78,,,
31.0,Kỹ thuật Cơ khí động lực TE2,25.7,,,
32.0,Kỹ thuật Điện tử - Viễn thông ET1,26.8,,,
33.0,Kỹ thuật Máy tính IT2,28.1,,,
34.0,Kỹ thuật Thực phẩm BF2,25.94,,,
35.0,Kỹ thuật Điện EE1,26.5,,,
36.0,Kỹ thuật Vật liệu MS1,24.65,,,
37.0,Kỹ thuật hạt nhân PH2,24.48,,,
38.0,Kỹ thuật Hóa học CH1,25.2,,,
39.0,Kỹ thuật Hàng không TE3,26.48,,,
40.0,Kỹ thuật Môi trường EV1,24.01,,,
41.0,Kỹ thuật Điều khiển - Tự động hóa EE2,27.46,,,
42.0,Kỹ thuật Cơ điện tử ME1,26.91,,,
43.0,Kỹ thuật Ô tô TE1,26.94,,,
44.0,Kỹ thuật Dệt TX1,23.99,,,
45.0,Kỹ thuật Sinh học BF1,25.34,,,
46.0,Kỹ thuật in CH3,24.45,,,
47.0,Kỹ thuật Nhiệt HE1,24.5,,,
48.0,Quản lý Tài nguyên và Môi trường EV2,23.53,,,
49.0,Quản trị kinh doanh EM3,26.04,,,
50.0,Quản lý công nghiệp EM2,25.75,,,
51.0,Quản trị kinh doanh - ĐH Troy (Hoa Kỳ) TROY-BA,23.25,,,
52.0,Tài chính - Ngân hàng EM5,25.83,,,
53.0,Tiếng Anh chuyên nghiệp quốc tế FL2,26.11,,,
54.0,Tiếng Anh KHKT và Công nghệ FL1,26.39,,,
55.0,Toán-Tin MI1,27.0,,,
56.0,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV) EE-EP,26.14,,,
57.0,Truyền thông số và Kỹ thuật đa phương tiện (CT tiên tiến) ET-E16,26.59,,,
58.0,Vật lý kỹ thuật PH1,25.64,,,
59.0,Vật lý y khoa PH3,25.36,,,
