STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Biên phòng 7860214_03A01,19.3,,,Nam - Quân khu 5 - A01
2.0,Biên phòng 7860214_05C00,25.0,,,Nam - Quân khu 9 - C00
3.0,Biên phòng 7860214_04A01,22.65,,,Nam - Quân khu 7 - A01
4.0,Biên phòng 7860214_01C00,26.5,,,"Nam - phía Bắc - C00. Thí sinh có mức điểm 26,5: 05 TS, lấy 03 TS. Tiêu chí phụ: Điểm môn Văn ≥ 7,5."
5.0,Biên phòng 7860214_03C00,24.75,,,"Nam - Quân khu 5 - C00. Thí sinh có mức điểm 24,75: 04 TS, lấy 02 TS. Tiêu chí phụ: Điểm môn Văn ≥ 6,25."
6.0,Biên phòng 7860214_05A01,20.55,,,Nam - Quân khu 9 - A01
7.0,Biên phòng 7860214_02C00,25.0,,,Nam - Quân khu 4 (Quảng Trị - Thừa Thiên Huế) - C00
8.0,Biên phòng 7860214_04C00,24.0,,,"Nam - Quân khu 7 - C00. Thí sinh có mức điểm 24,0: 03 TS, lấy 02 TS. Tiêu chí phụ: Điểm môn Văn ≥ 6,25."
9.0,Biên phòng 7860214_02A01,23.45,,,Nam - Quân khu 4 (Quảng Trị - Thừa Thiên Huế) - A01
10.0,Biên phòng Thí sinh Nam miền Bắc 7860214,21.85,,,"Nam - phía Bắc - A01. Thí sinh có mức điểm 21,85: 02 TS, lấy 01 TS. Tiêu chí phụ: Điểm môn Toán ≥ 8,2."
11.0,Ngành Luật 7380101_04C00,24.75,,,"Nam - Quân khu 7 - C00. Thí sinh có mức điểm 24,75: 02 TS, lấy 01 TS. Tiêu chí phụ: Điểm môn Văn ≥ 7,0."
12.0,Ngành Luật 7380101_02A01,23.65,,,Nam - Quân khu 4 (Quảng Trị - Thừa Thiên Huế) - A01
13.0,Ngành Luật 7380101_03A01,18.9,,,Nam - Quân khu 5 - A01
14.0,Ngành Luật 7380101_05C00,25.0,,,"Nam - Quân khu 9 - C00. Thí sinh có mức điểm 25,0: 06 TS, lấy 01 TS. Tiêu chí phụ: Điểm môn Văn ≥ 7,5."
15.0,Ngành Luật 7380101_05A01,17.75,,,Nam - Quân khu 9 - A01
16.0,Ngành Luật 7380101_01C00,26.75,,,"Nam - phía Bắc - C00. TThí sinh có mức điểm 26,75: 02 TS, lấy 01 TS. Tiêu chí phụ: Điểm môn Văn ≥ 8,0."
17.0,Ngành Luật 7380101_02C00,20.5,,,Nam - Quân khu 4 (Quảng Trị - Thừa Thiên Huế) - C00
18.0,Ngành Luật 7380101_04A01,16.25,,,Nam - Quân khu 7 - A01
19.0,Ngành Luật 7380101,23.15,,,Nam - phía Bắc - A01
20.0,Ngành Luật 7380101_03C00,26.0,,,Nam - Quân khu 5 - C00
