STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Biên phòng (Nam - Quần khu 7) 7860214|27C00,26.25,,,"Thí sinh mức 26.25; Tiêu chí phụ: Điểm môn Văn ≥ 8,0"
2.0,Biên phòng (Nam - Miền Bắc) 7860214|21C00,28.5,,,"Thí sinh có mức điểm 28,5: tiêu chí phụ: Điểm môn Văn >= 8,25; Sử >= 9,75; Địa = 10"
3.0,Biên phòng (Nam - Quần khu 5) 7860214|25A01,25.4,,,
4.0,Biên phòng (Nam - Quần khu 9) 7860214|29C00,27.5,,,
5.0,Biên phòng (Nam - Miền Bắc) 7860214|21A01,24.7,,,
6.0,Biên phòng (Nam - Quần khu 9) 7860214|29A01,22.25,,,
7.0,Biên phòng (Nam - Quần khu 4) 7860214|24C00,27.0,,,
8.0,Biên phòng (Nam - Quần khu 7) 7860214|27A01,20.4,,,
9.0,Biên phòng (Nam - Quần khu 4) 7860214|24A01,27.0,,,
10.0,Biên phòng (Nam - Quần khu 5) 7860214|25C00,27.0,,,"Thí sinh mức 27 điểm; Tiêu chí phụ: Điểm môn Văn ≥ 8,25"
