STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,An toàn thông tin 7480202,25.85,"A00, A01",30800000.0,
2.0,Báo chí 7320101,25.29,"A00, A01, D01",27060000.0,
3.0,Công nghệ tài chính 7340205,25.61,"A00, A01, D01",27060000.0,
4.0,Công nghệ đa phương tiện 7329001,25.75,"A00, A01, D01",30800000.0,
5.0,"Công nghệ kỹ thuật điện, điện tử 7510301",25.46,"A00, A01",30800000.0,
6.0,Công nghệ thông tin (Chất lượng cao): Chương trình đào tạo đạt chuẩn kiểm định quốc tế AUN-QA 7480201_CLC,25.43,"A00, A01",55000000.0,
7.0,Công nghệ thông tin Việt - Nhật 7480201_VNH,24.25,"A00, A01",55000000.0,
8.0,Công nghệ thông tin 7480201,26.4,"A00, A01",30800000.0,
9.0,Cử nhân công nghệ thông tin (định hướng ứng dụng) 7480201_UDU,24.87,"A00, A01",37000000.0,
10.0,Kế toán chất lượng cao 7340301_CLC,22.5,"A00, A01, D01",55000000.0,
11.0,Kế toán 7340301,25.29,"A00, A01, D01",27060000.0,
12.0,Khoa học máy tính 7480101,26.31,"A00, A01",30800000.0,
13.0,Mạng máy tính và truyền thông dữ liệu 7480102,25.59,"A00, A01",30800000.0,
14.0,Marketing 7340115,25.85,"A00, A01, D01",27060000.0,
15.0,Marketing CLC 7340115_CLC,24.25,"A00, A01, D01",55000000.0,
16.0,Ngành Kỹ thuật điện tử truyền thông 7520207,25.75,"A00, A01",30800000.0,
17.0,Ngành Kỹ thuật điều khiển & Tự động hóa 7520216,26.08,"A00, A01",30800000.0,
18.0,Quan hệ công chúng ngành Marketing 7340115_QHC,25.15,"A00, A01",55000000.0,
19.0,Quản trị Kinh doanh 7340101,25.17,"A00, A01, D01",27060000.0,
20.0,Thiết kế và phát triển Game (Công nghệ Đa phương tiện) 7329001_GAM,24.97,"A00, A01, D01",55000000.0,
21.0,Thương mại điện tử 7340122,26.09,"A00, A01, D01",27060000.0,
22.0,Truyền thông đa phương tiện 7320104,25.94,"A00, A01, D01",27060000.0,
