STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn) 7510201,15.0,"A00, A01, B00, D01",,
2.0,Công nghệ may 7540209,15.0,"A00, A01, B00, D01",,
3.0,"Công nghệ sợi, dệt 7540202",15.0,"A00, A01, B00, D01",,
4.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.0,"A00, A01, B00, D01",,
5.0,Kế toán 7340301,15.0,"A00, A01, B00, D01",,
6.0,Marketing 7340115,15.0,"A00, A01, B00, D01",,
7.0,Quản trị Kinh doanh 7340101,15.0,"A00, A01, B00, D01",,
8.0,Quản lý công nghiệp 7510601,15.0,"A00, A01, B00, D01",,
9.0,Thiết kế đồ họa 7210403,18.0,"A00, D01, H00, V01",,
10.0,Thiết kế thời trang 7210404,18.0,"D01, H00, V00, V01",,
11.0,Thương mại điện tử 7340122,15.0,"A00, A01, B00, D01",,
