STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Nghiệp vụ an ninh (Nữ - A) 7860100|12A01,25.62,,,Nữ - phía Nam - A01
2.0,Nghiệp vụ cảnh sát 7860100|11C03,27.12,,,Nữ - phía Bắc - C03
3.0,Nghiệp vụ cảnh sát 7860100|12D01,25.44,,,Nữ - phía Nam - D01
4.0,Nghiệp vụ cảnh sát 7860100|22A01,22.91,,,Nam - phía Nam - A01
5.0,Nghiệp vụ cảnh sát 7860100|12C03,26.14,,,Nữ - phía Nam - C03
6.0,Nghiệp vụ cảnh sát 7860100|11D01,26.89,,,Nữ - phía Bắc - D01
7.0,Nghiệp vụ cảnh sát 7860100|22D01,20.15,,,Nam - phía Nam - D01
8.0,Nghiệp vụ cảnh sát 7860100|21C03,23.0,,,Nam - phía Bắc - C03
9.0,Nghiệp vụ cảnh sát 7860100|11A01,26.69,,,"Nữ - phía Bắc - A01, Tổng điểm của 03 môn thuộc tổ hợp xét tuyển và điểm trung bình cộng kết quả học tập 3 năm THPT lớp 10, 11, 12 được quy về thang điểm 30 làm tròn đến 02 chữ số thập phân, tính theo công thức là 26.19"
10.0,Nghiệp vụ cảnh sát 7860100|22C03,23.32,,,Nam - phía Nam - C03
11.0,Nghiệp vụ cảnh sát 7860100|21A01,19.62,,,Nam - phía Bắc - A01
12.0,Nghiệp vụ cảnh sát 7860100|21D01,19.88,,,Nam - phía Bắc - D01
13.0,Nghiệp vụ cảnh sát (nam) 7860100,19.92,,,
