STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Nghiệp vụ An ninh (Địa bàn 3 - Nữ) 7860100|13A00|3,26.88,,,
2.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23A01|8,25.76,,,
3.0,Nghiệp vụ An ninh (Địa bàn 1 - Nam) 7860100|23A01|1,27.03,,,
4.0,Nghiệp vụ An ninh (Địa bàn 1 - Nữ) 7860100|13C03|1,28.83,,,
5.0,Nghiệp vụ An ninh (Địa bàn 2 - Nữ) 7860100|13A01|2,28.23,,,
6.0,Nghiệp vụ An ninh (Địa bàn 3 - Nam) 7860100|23C03|3,26.13,,,
7.0,Nghiệp vụ An ninh (Địa bàn 3 - Nữ) 7860100|13C03|3,28.21,,,
8.0,Nghiệp vụ An ninh (Địa bàn 1 - Nam) 7860100|23D01|1,26.54,,,
9.0,Nghiệp vụ An ninh (Địa bàn 2 - Nam) 7860100|23A00|2,26.33,,,
10.0,Nghiệp vụ An ninh (Địa bàn 2 - Nam) 7860100|23C03|2,26.51,,,
11.0,Nghiệp vụ An ninh (Địa bàn 2 - Nữ) 7860100|13D01|2,28.18,,,
12.0,Nghiệp vụ An ninh (Địa bàn 3 - Nữ) 7860100|13A01|3,28.28,,,
13.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23C03|8,23.93,,,
14.0,Nghiệp vụ An ninh (Địa bàn 1 - Nam) 7860100|23C03|1,25.94,,,
15.0,Nghiệp vụ An ninh (Địa bàn 1 - Nữ) 7860100|13D01|1,28.97,,,
16.0,Nghiệp vụ An ninh (Địa bàn 2 - Nam) 7860100|23A01|2,27.15,,,
17.0,Nghiệp vụ An ninh (Địa bàn 2 - Nữ) 7860100|13C03|2,27.91,,,
18.0,Nghiệp vụ An ninh (Địa bàn 3 - Nam) 7860100|23D01|3,26.43,,,
19.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23A00|8,23.09,,,
20.0,Nghiệp vụ An ninh (Địa bàn 1 - Nam) 7860100|23A00|1,25.39,,,
21.0,Nghiệp vụ An ninh (Địa bàn 1 - Nữ) 7860100|13A01|1,29.75,,,
22.0,Nghiệp vụ An ninh (Địa bàn 2 - Nữ) 7860100|13A00|2,28.65,,,
23.0,Nghiệp vụ An ninh (Địa bàn 3 - Nam) 7860100|23A01|3,26.54,,,
24.0,Nghiệp vụ An ninh (Địa bàn 3 - Nữ) 7860100|13D01|3,28.26,,,
25.0,Nghiệp vụ An ninh (Địa bàn 1 - Nữ) 7860100|13A00|1,27.98,,,
26.0,Nghiệp vụ An ninh (Địa bàn 2 - Nam) 7860100|23D01|2,26.39,,,
27.0,Nghiệp vụ An ninh (Địa bàn 3 - Nam) 7860100|23A00|3,25.63,,,
