STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23C03|7,21.74,,,
2.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23D01|7,21.42,,,
3.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13D01|6,13.14,,,
4.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23A00|6,17.75,,,
5.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13C03|5,23.11,,,
6.0,Nghiệp vụ An ninh (Địa bàn 8 - Nữ) 7860100|13A00|8,15.95,,,
7.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13D01|5,24.23,,,
8.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13A01|4,21.94,,,
9.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23A01|5,20.83,,,
10.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13C03|4,23.02,,,
11.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23A00|8,15.42,,,
12.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13A00|7,22.02,,,
13.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23A01|6,18.8,,,
14.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23C03|6,19.67,,,
15.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13D01|4,22.95,,,
16.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23A00|4,18.73,,,
17.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13A00|5,23.39,,,
18.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13D01|7,23.02,,,
19.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23A00|7,19.74,,,
20.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13A01|6,21.76,,,
21.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13A00|6,21.74,,,
22.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23C03|4,19.93,,,
23.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23C03|8,16.66,,,
24.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13C03|7,23.83,,,
25.0,Nghiệp vụ An ninh (Địa bàn 7 - Nữ) 7860100|13A01|7,23.4,,,
26.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23D01|6,18.47,,,
27.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23C03|5,21.27,,,
28.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23D01|5,21.8,,,
29.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23A01|4,18.14,,,
30.0,Nghiệp vụ An ninh (Địa bàn 6 - Nam) 7860100|23A00|6,17.79,,,
31.0,Nghiệp vụ An ninh (Địa bàn 5 - Nữ) 7860100|13A01|5,24.43,,,
32.0,Nghiệp vụ An ninh (Địa bàn 4 - Nam) 7860100|23D01|4,20.98,,,
33.0,Nghiệp vụ An ninh (Địa bàn 8 - Nam) 7860100|23A01|8,15.43,,,
34.0,Nghiệp vụ An ninh (Địa bàn 7 - Nam) 7860100|23A01|7,19.83,,,
35.0,Nghiệp vụ An ninh (Địa bàn 6 - Nữ) 7860100|13C03|6,21.53,,,
36.0,Nghiệp vụ An ninh (Địa bàn 5 - Nam) 7860100|23A00|5,20.01,,,
37.0,Nghiệp vụ An ninh (Địa bàn 4 - Nữ) 7860100|13A00|4,22.23,,,
