STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,16.0,,,Chương trình đại trà
2.0,Công nghệ thông tin 7480201,21.5,,,Chương trình chất lượng cao
3.0,Kế toán 7340301,16.0,,,Chương trình đại trà
4.0,Kế toán 7340301,21.5,,,Chương trình chất lượng cao
5.0,Kinh tế xây dựng 7580301,16.0,,,Chương trình đại trà
6.0,Kinh tế xây dựng 7580301,21.5,,,Chương trình chất lượng cao
7.0,Kỹ thuật xây dựng 7580201,21.5,,,Chương trình chất lượng cao
8.0,Kỹ thuật xây dựng 7580201,16.0,,,Chương trình đại trà
9.0,Kỹ thuật xây dựng công trình giao thông 7580205,21.5,,,Chương trình chất lượng cao
10.0,Kỹ thuật xây dựng công trình giao thông 7580205,16.0,,,Chương trình đại trà
11.0,Ngành Kỹ thuật điện tử truyền thông 7520207,21.5,,,Chương trình chất lượng cao
12.0,Ngành Kỹ thuật điện tử truyền thông 7520207,16.0,,,Chương trình đại trà
13.0,Quản trị doanh nghiệp 7340101,21.5,,,Chương trình chất lượng cao
14.0,Quản trị doanh nghiệp 7340101,16.0,,,Chương trình đại trà
15.0,Tài chính – Ngân hàng 7340201,16.0,,,Chương trình đại trà
16.0,Tài chính – Ngân hàng 7340201,21.5,,,Chương trình chất lượng cao
