STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.0,,,
2.0,Công nghệ chế tạo máy 7510202,15.0,,,
3.0,Công nghệ kỹ thuật điều khiển và tự động hóa 7510303,15.0,,,
4.0,Công nghệ thông tin 7480201,15.0,,,
5.0,Công nghệ kỹ thuật nhiệt 7510206,15.0,,,
6.0,Công nghệ thực phẩm 7540101,15.0,,,
7.0,Điều dưỡng 7720301,18.0,,,
8.0,Dược học 7720201,20.0,,,
9.0,Kế toán 7340301,15.0,,,
10.0,Kỹ thuật xây dựng 7580201,15.0,,,
11.0,Quản trị doanh nghiệp 7340101,15.0,,,
12.0,Tài chính – Ngân hàng 7340201,15.0,,,
