STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,17.25,,,
2.0,Công nghệ kỹ thuật cơ điện tử 7510203,19.5,,,
3.0,"Công nghệ kỹ thuật điện, điện tử 7510301",17.0,,,
4.0,Công nghệ kỹ thuật xây dựng dân dụng và công nghiệp 7510102,15.0,,,
5.0,Công nghệ kỹ thuật điều khiển và tự động hóa 7510303,20.25,,,
6.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn) 7510201,18.0,,,
7.0,Điện tử - viễn thông 7510302,15.75,,,
8.0,Kế toán 7340301,16.5,,,
9.0,Quản trị doanh nghiệp 7340101,16.75,,,
10.0,Quản lý công nghiệp 7510601,15.0,,,
11.0,Tài chính – Ngân hàng 7340201,15.0,,,
