STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,,,,
2.0,Điều dưỡng 7720301,,,,
3.0,Dược học 7720201,,,,
4.0,Kế toán 7340301,,,,
5.0,Kiến trúc cảnh quan 7580102,15.5,,,Xét học bạ 18 điểm
6.0,Kỹ thuật xây dựng 7580201,,,,
7.0,Luật kinh tế 7380107,15.5,,,Xét học bạ 18 điểm
8.0,Ngôn ngữ Trung Quốc 7220204,,,,
9.0,Ngôn ngữ Anh 7220201,15.5,,,Xét học bạ 18 điểm
10.0,Quản trị dịch vụ du lịch và lữ hành 7810103,,,,
11.0,Quản trị doanh nghiệp 7340101,15.5,,,Xét học bạ 18 điểm
12.0,Quan hệ công chúng 7320108,15.5,,,Xét học bạ 18 điểm
13.0,Tài chính – Ngân hàng 7340201,,,,
