STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ sinh học 7420201,,,,
2.0,Công nghệ kỹ thuật ô tô 7510205,15.5,,,Xét học bạ 18 điểm
3.0,Công nghệ kỹ thuật Môi trường 7510406,15.5,,,Xét học bạ 18 điểm
4.0,Điều dưỡng 7720301,15.5,,,Xét học bạ 18 điểm
5.0,Du lịch 7310630,15.5,,,Xét học bạ 18 điểm
6.0,Kế toán 7340301,15.5,,,Xét học bạ 18 điểm
7.0,Kiến trúc 7580101,,,,
8.0,Kỹ thuật xây dựng 7580201,15.5,,,Xét học bạ 18 điểm
9.0,Luật kinh tế 7380107,15.5,,,Xét học bạ 18 điểm
10.0,Ngành Kỹ thuật điện tử truyền thông 7520207,15.5,,,Xét học bạ 18 điểm
11.0,Ngôn ngữ Anh 7220201,15.5,,,Xét học bạ 18 điểm
12.0,Ngôn ngữ Trung Quốc 7220204,15.5,,,Xét học bạ 18 điểm
13.0,Quan hệ quốc tế 7310206,15.5,,,Xét học bạ 18 điểm
14.0,Quản trị doanh nghiệp 7340101,15.5,,,Xét học bạ 18 điểm
15.0,Quản lý nhà nước 7310205,15.5,,,Xét học bạ 18 điểm
16.0,Tài chính – Ngân hàng 7340201,15.5,,,Xét học bạ 18 điểm
17.0,Thông tin - thư viện 7320201,15.5,,,Xét học bạ 18 điểm
18.0,Thú y 7640101,15.5,,,Xét học bạ 18 điểm
