STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,7510303DKK 7510303DKK (trước 2023),23.0,,,
2.0,Bảo hiểm 7340204DKK,21.0,,,
3.0,Công nghệ kỹ thuật điện tử - Viễn thông (Chuyên ngành Kỹ thuật viễn thông; Kỹ thuật điện tử) 7510302DKK,21.8,,,
4.0,"Công nghê dệt, may (Chuyên ngành Công nghệ may; Thiết kế thời trang) 7540204DKK",21.0,,,
5.0,Công nghệ thông tin (Chuyên ngành Công nghệ thông tin; Hệ thống thông tin; Truyền dữ liệu và mạng máy tính) 7480201DKK,24.0,,,
6.0,"Công nghệ kỹ thuật điện, điện tử (Chuyên ngành Điện dân dụng và công nghiệp; Hệ thống cung cấp điện; Thiết bị điện, điện tử 7510301DKK",22.0,,,
7.0,Công nghệ kỹ thuật máy tính 7480108DKK,22.2,,,
8.0,Công nghệ thực phẩm (Chuyên ngành Công nghệ đồ uống và đường bánh kẹo; Công nghệ chế biến và bảo quản nông sản) 7540101DKK,21.0,,,
9.0,Công nghệ kỹ thuật cơ điện tử (Chuyên ngành Kỹ thuật Robot; Hệ thống cơ điện tử; Hệ thống cơ điện tử trên ô tô) 7510203DKK,22.0,,,
10.0,"Công nghệ sợi , dệt 7540202DKK",19.0,,,
11.0,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ chế tạo máy; Máy và cơ sở thiết kế máy) 7510201DKK,21.5,,,
12.0,Kế toán (Chuyên ngành Kế toán doanh nghiệp; Kế toán nhà hàng khách sạn; Kế toán công; Kế toán kiểm toán) 7340301DKK,22.5,,,
13.0,Khoa học Dữ liệu 7460108DKK,22.0,,,
14.0,Kinh doanh Thương mại (Chuyên ngành Kinh doanh thương mại; Thương mại điện tử) 7340121DKK,24.0,,,
15.0,Mạng máy tính và truyền thông dữ liệu (Chuyên ngành Mạng máy tính và truyền thông dữ liệu; Chuyên ngành an toàn thông tin) 7480102DKK,22.2,,,
16.0,Ngành Quản trị dịch vụ du lịch và lữ hành 7810103DKK,24.0,,,
17.0,Ngành công nghệ kỹ thuật ô tô 7510205DKK,22.8,,,
18.0,Ngôn ngữ Anh (Chuyên ngành Biên phiên dịch; Chuyên ngành giảng dạy) 7220201DKK,23.0,,,
19.0,Quản trị kinh doanh (Chuyên ngành Quản trị kinh doanh; Quản trị Marketing; Logistics và quản lý chuỗi cung ứng) 7340101DKK,23.5,,,
20.0,Tài chính ngân hàng (Chuyên ngành Tài chính doanh nghiệp; Ngân hàng; Tài chính bảo hiểm; Đầu tư tài chính) 7340201DKK,22.8,,,
