STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Ngành Luật 7380101,25.2,,,"Thí sinh nam, miền Bắc, Toán từ 9.2 trở lên"
2.0,Ngành Luật 7380101,25.95,,,"Thí sinh nữ, miền Bắc"
3.0,Ngành Luật 7380101,24.95,,,"Thí sinh nữ, miền Nam"
4.0,Ngành Luật 7380101,27.75,,,"Thí sinh nữ, miền Nam"
5.0,Ngành Luật 7380101,27.5,,,"Thí sinh nam, miền Bắc, Văn từ 8.75 trở lên"
6.0,Ngành Luật 7380101,25.7,,,"Thí sinh nữ, miền Bắc"
7.0,Ngành Luật 7380101,17.7,,,"Thí sinh nam, miền Nam"
8.0,Ngành Luật 7380101,21.2,,,"Thí sinh nam, miền Bắc"
9.0,Ngành Luật 7380101,21.4,,,"Thí sinh nam, miền Nam"
10.0,Ngành Luật 7380101,21.6,,,"Thí sinh nữ, miền Nam"
11.0,Ngành Luật 7380101,24.3,,,"Thí sinh nữ, miền Nam"
12.0,Ngành Luật 7380101,29.67,,,"Thí sinh nữ, miền Bắc"
13.0,Ngành Luật 7380101,16.2,,,"Thí sinh nam, miền Nam"
14.0,Ngành Luật 7380101,23.45,,,"Thí sinh nam, miền Bắc"
15.0,Ngành Luật 7380101,22.85,,,"Thí sinh nữ, miền Bắc"
16.0,Ngành Luật 7380101,25.75,,,"Thí sinh nam, miền Nam"
