STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Luật (Nam - Phía Nam) 7380101|22A01,20.45,A01,,
2.0,Luật (Nam - Phía Bắc) 7380101|21C00,27.58,C00,,
3.0,Luật (Nữ - Phía Nam) 7380101|12C00,26.03,C00,,
4.0,Luật (Nam - Phía Nam) 7380101|22D01,22.4,D01,,
5.0,Luật (Nữ - Phía Bắc) 7380101|11A00,24.35,A00,,
6.0,Luật (Nữ - Phía Bắc) 7380101|11C00,28.42,C00,,
7.0,Luật (Nữ - Phía Nam) 7380101|12D01,23.23,D01,,
8.0,Luật (Nam - Phía Nam) 7380101|22C00,24.2,C00,,
9.0,Luật (Nam - Phía Bắc) 7380101|21D01,24.75,D01,,
10.0,Luật (Nữ - Phía Nam) 7380101|12A01,22.35,A01,,
11.0,Luật (Nam - Phía Nam) 7380101|22A00,23.15,A00,,
12.0,Luật (Nam - Phía Bắc) 7380101|21A01,24.6,A01,,
13.0,Luật (Nữ - Phía Nam) 7380101|12A00,22.7,A00,,
14.0,Luật (Nữ - Phía Bắc) 7380101|11A01,23.48,A01,,
15.0,Luật (Nữ - Phía Bắc) 7380101|11D01,25.51,D01,,
16.0,Luật (Nam - Phía Bắc) 7380101|21A00,24.3,A00,,
