STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bảo hiểm - Tài chính 7340207,15.0,,,
2.0,Bảo hiểm 7340204,21.15,,,
3.0,Công tác xã hội 7760101,22.75,,,
4.0,Công nghệ thông tin 7480201,22.85,,,
5.0,Hệ thống thông tin 7340405,21.5,,,
6.0,Kế toán 7340301,22.95,,,
7.0,Kiểm toán 7340302,22.5,,,
8.0,Kinh tế 7310101,22.8,,,
9.0,Luật kinh tế 7380107,23.2,,,
10.0,Lý luận. lịch sử và phê bình mỹ thuật 7210101,22.8,,,
11.0,Ngôn ngữ Anh 7220201,22.0,,,
12.0,Quản trị dịch vụ du lịch và lữ hành 7810103,21.4,,,
13.0,Quản trị doanh nghiệp 7340101,23.15,,,
14.0,Quản trị nhân lực 7340404,23.3,,,
15.0,Quản trị doanh nghiệp 7340101,25.25,,,
16.0,Tài chính – Ngân hàng 7340201,22.7,,,
17.0,Tâm lý học 7310401,24.05,,,
