STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ tài chính 7340205,15.0,"A00, A01, C01, D01",,
2.0,Công nghệ thông tin 7480201,15.0,"A00, A01, C01, D01",,
3.0,Công nghệ kỹ thuật ô tô 7510205,15.0,"A00, A01, C01, D01",,
4.0,Đông phương học 7310608,15.0,"A01, C00, D01, D15",,
5.0,Dược học 7720201,21.0,"A00, B00, C08, D07",,
6.0,Kế toán 7340301,15.0,"A00, A01, C01, D01",,
7.0,Logistics và Quản lý chuỗi cung ứng 7510605,15.0,"A00, A01, C00, D01",,
8.0,Luật kinh tế 7380107,15.0,"A00, A01, C00, D01",,
9.0,Marketing kỹ thuật số 7340114,15.0,"A00, A01, C00, D01",,
10.0,Ngành Kinh doanh quốc tế 7340120,15.0,"A00, A01, C00, D01",,
11.0,Ngôn ngữ Trung Quốc 7220204,15.0,"A01, C00, D01, D15",,
12.0,Ngôn ngữ Anh 7220201,15.0,"A01, D01, D14, D15",,
13.0,Quản trị Kinh doanh 7340101,15.0,"A00, A01, C00, D01",,
14.0,Quản lý công nghiệp 7510601,15.0,"A00, A01, C00, D01",,
15.0,Thú y 7640101,15.0,"A00, B00, C08, D07",,
