STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bất động sản 7340116,21.0,,,
2.0,Biến đổi khí hậu và phát triển bền vững 7440298,15.0,,,
3.0,Công nghệ thông tin 7480201,22.75,,,
4.0,Công nghệ kỹ thuật Môi trường 7510406,15.0,,,
5.0,Đảm bảo chất lượng và an toàn thực phẩm 7540106,15.0,,,
6.0,Kế toán 7340301,22.15,,,
7.0,Khí tượng và Khí hậu học 7440222,15.0,,,
8.0,Kinh tế tài nguyên thiên nhiên 7850102,22.0,,,
9.0,Kỹ thuật trắc địa – bản đồ 7520503,15.0,,,
10.0,Kỹ thuật địa chất 7520501,15.0,,,
11.0,Logistics và Quản lý chuỗi cung ứng 7510605,24.75,,,
12.0,Marketing (dạy bằng tiếng Anh) 7340115,24.75,,,
13.0,Ngành Luật 7380101,22.75,,,
14.0,Ngôn ngữ Anh 7220201,22.75,,,
15.0,Quản lý tài nguyên và môi trường 7850101,21.0,,,
16.0,Quản trị doanh nghiệp 7340101,23.75,,,
17.0,Quản lý biển 7850199,15.0,,,
18.0,Quản trị dịch vụ du lịch và lữ hành 7810103,22.0,,,
19.0,Quản trị khách sạn 7810201,22.75,,,
20.0,Quản lý tài nguyên nước 7850198,15.0,,,
21.0,Quản lý đất đai 7850103,21.25,,,
22.0,Sinh học ứng dụng 7420203,15.0,,,
23.0,Thủy văn học 7440224,15.0,,,
