STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Chính trị học 7310201,23.0,,,
2.0,Chuyên ngành Văn hóa Truyền thông 7229040-02,,,,
3.0,Chuyên ngành Chính sách công 7310201D-01,,,,
4.0,Chuyên ngành Văn hóa Du lịch 7229040-01,,,,
5.0,Chuyên ngành Văn hóa Doanh nghiệp 7229040-03,,,,
6.0,Chuyên ngành Chính sách công 7310201-01,,,,
7.0,Chuyên ngành Quản lí tài chính công 7310205-02,,,,
8.0,Chuyên ngành Quản lý nhà nước về kinh tế 7310205-01,,,,
9.0,CN Quản lý nhà nước về tôn giáo 7310205-03,,,,
10.0,Hệ thống thông tin - Phân hiệu Quảng Nam 7480104D,,,,
11.0,Hệ thống thông tin 7480104,15.5,,,
12.0,Luật (Chuyên ngành Luật Hành chính); Học tại khu Hòa An - Tỉnh Hậu Giang 7380101H,,,,
13.0,Lưu trữ học 7320303,19.5,,,
14.0,Ngành Luật 7380101,23.5,,,
15.0,Quản lý nhà nước - Phân hiệu Quảng Nam 7310205D,,,,
16.0,Quản trị nhân lực - Phân hiệu Quảng Nam 7340404D,,,,
17.0,Quản trị nhân lực 7340404,25.0,,,
18.0,Quản trị văn phòng 7340406,24.25,,,
19.0,Quản lý văn hoá - Biểu diễn nghệ thuật 7229042D,,,,
20.0,Quản lý nhà nước 7310205,21.75,,,
21.0,Quản lý nhà nước 7310205H,,,,
22.0,Quản lý văn hoá 7229042,25.75,,,
23.0,Thông tin - thư viện 7320201,,,,
