STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ thông tin 7480201,15.5,,,
2.0,"Công nghệ kỹ thuật điện, điện tử 7510301",15.5,,,
3.0,Công nghệ kỹ thuật cơ điện tử 7510203,15.5,,,
4.0,Công nghệ sinh học 7420201,15.5,,,
5.0,Công nghệ kỹ thuật Môi trường 7510406,15.5,,,
6.0,Điện tử - viễn thông 7510302,15.5,,,
7.0,Du lịch 7310630,15.5,,,
8.0,Kế toán 7340301,15.5,,,
9.0,Kiến trúc 7580101,18.0,,,
10.0,Kinh tế xây dựng 7580301,15.5,,,
11.0,Kỹ thuật xây dựng công trình giao thông 7580205,15.5,,,
12.0,Kỹ thuật xây dựng 7580201,18.0,,,
13.0,Ngôn ngữ Nhật 7220209,15.5,,,
14.0,Ngôn ngữ Trung Quốc 7220204,15.5,,,
15.0,Ngôn ngữ Anh 7220201,15.5,,,
16.0,Quản trị văn phòng 7340406,15.5,,,
17.0,Quản trị doanh nghiệp 7340101,15.5,,,
18.0,Quản trị dịch vụ du lịch và lữ hành 7810103,15.5,,,
19.0,Tài chính – Ngân hàng 7340201,15.5,,,
