STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ sinh học BIO1,19.0,,,
2.0,Công nghệ thông tin (Chương trình đào tạo CNTT Việt - Nhật) ICT-VJ,23.0,,,
3.0,Công nghệ thông tin ICT1,23.5,,,
4.0,Công nghệ vật liệu MSE-AI,22.0,,,
5.0,Công nghệ vật liệu MSE1,21.0,,,
6.0,Điều dưỡng NUR1,19.0,,,
7.0,Du lịch FTS4,22.0,,,
8.0,Du lịch FTS3,22.0,,,
9.0,Du lịch FTS1,23.75,,,
10.0,Dược học PHA1,23.0,,,
11.0,Kế toán FBE2,23.5,,,
12.0,Khoa học máy tính ICT-TN,24.0,,,
13.0,Khoa học dữ liệu và Trí tuệ nhân tạo ICT-AI,23.0,,,
14.0,Kinh doanh quốc tế FBE6,23.5,,,
15.0,Kỹ thuật cơ khí MEM2,19.0,,,
16.0,Kỹ thuật phục hổi chức năng RET1,19.0,,,
17.0,Kỹ thuật ô tô VEE2,21.0,,,
18.0,Kỹ thuật y sinh EEE2,21.0,,,
19.0,Kỹ thuật hóa học CHE1,19.0,,,
20.0,Kỹ thuật xét nghiệm y học MTT1,19.0,,,
21.0,Kỹ thuật cơ điện tử MEM1,19.0,,,
22.0,"Kỹ thuật điện tử - viễn thông (Thiết kế vi mạch, Hệ thông nhúng và IoT) EEE3",24.0,,,
23.0,Kỹ thuật ô tô VEE1,22.0,,,
24.0,Kỹ thuật điều khiển và tự động hóa EEE1,22.0,,,
25.0,Luật FBES,25.0,,,
26.0,Ngôn ngữ Anh FLE1,23.0,,,
27.0,Ngôn ngữ Hàn Quốc FLK1,23.5,,,
28.0,Ngôn ngữ Trung Quốc FLC1,23.75,,,
29.0,Ngôn ngữ Nhật FLJ1,22.0,,,
30.0,Quản trị nhân lực FBE4,24.5,,,
31.0,Quản trị khách sạn FTS2,22.0,,,
32.0,Quản trị kinh doanh FBE1,23.5,,,
33.0,Tài chính - ngân hàng FBE3,23.75,,,
34.0,Trí tuệ nhân tạo và Robot (Các môn chuyên ngành học bằng tiếng Anh) EEE-A1,23.0,,,
35.0,Vật lý FSP1,24.0,,,
36.0,Y khoa MED1,23.0,,,
