STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công tác xã hội 7760101,18.0,,,Tiêu chí phụ: Điểm Ngữ Văn; Thang điểm 30.
2.0,ĐH Toán ứng dụng 7460112,15.5,,,Tiêu chí phụ: Điểm Toán; Thang điểm 30.
3.0,Điều dưỡng 7720301,15.75,,,Tiêu chí phụ: Điểm Sinh học; Thang điểm 30.
4.0,Dinh dưỡng 7720401,,,,
5.0,Hệ thống thông tin 7480104,15.5,,,Tiêu chí phụ: Điểm Toán; Thang điểm 30.
6.0,Kế toán 7340301,17.25,,,Tiêu chí phụ: Điểm Toán; Thang điểm 30.
7.0,Khoa học máy tính 7480101,15.5,,,Tiêu chí phụ: Điểm Toán; Thang điểm 30.
8.0,Mạng máy tính và truyền thông dữ liệu 7480102,15.5,,,Tiêu chí phụ: Điểm Toán; Thang điểm 30.
9.0,Ngôn ngữ Anh 7220201,19.0,,,Tiêu chí phụ: Điểm tiếng Anh; Thang điểm 30.
10.0,Ngôn ngữ Nhật 7220209,18.0,,,Tiêu chí phụ: Điểm ngoại ngữ; Thang điểm 30.
11.0,Ngôn ngữ Trung Quốc 7220204,19.0,,,Tiêu chí phụ: Điểm ngoại ngữ; Thang điểm 30.
12.0,Ngôn ngữ Hàn Quốc 7220210,20.0,,,Tiêu chí phụ: Điểm Tiếng Anh; Thang điểm 30.
13.0,Quản trị doanh nghiệp 7340101,17.25,,,Tiêu chí phụ: Điểm Toán; Thang điểm 30.
14.0,Quản lý bệnh viện 7720802,,,,
15.0,Tài chính – Ngân hàng 7340201,17.25,,,Tiêu chí phụ: Điểm Toán; Thang điểm 30.
16.0,Thanh nhạc 7210205,,,,
17.0,Y tế công cộng 7720701,,,,
