STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ đa phương tiện 7329001,17.0,"A00, A01, C01, D01",,
2.0,Công tác xã hội 7760101,17.0,"C00, D01, D78, D96",,
3.0,Công nghệ thông tin 7480201,17.0,"A00, A01, C01, D01",,
4.0,Điều dưỡng 7720301,19.0,"A00, B00, D07, D08",,
5.0,Dược học 7720201,21.0,"A00, B00, D07, D08",,
6.0,Kế toán 7340301,17.0,"A00, A01, D01, D96",,
7.0,Kỹ thuật ô tô 7520130,17.0,"A00, A01, C01, D01",,
8.0,Logistics và Quản lý chuỗi cung ứng 7510605,17.0,"A00, A01, D01, D96",,
9.0,Luật kinh tế 7380107,17.0,"A00, C00, D01, D78",,
10.0,Ngành Kỹ thuật điện tử truyền thông 7520207,17.0,"A00, A01, C01, D01",,
11.0,Ngôn ngữ Trung Quốc 7220204,17.0,"A01, C00, D01, D04",,
12.0,Ngôn ngữ Anh 7220201,17.0,"D01, D14, D15, D78",,
13.0,Quản trị khách sạn 7810201,17.0,"C00, D01, D72, D96",,
14.0,Quản trị Kinh doanh 7340101,17.0,"A00, A01, D01, D96",,
15.0,Quan hệ công chúng 7320108,17.0,"C00, D01, D15, D78",,
16.0,Quản trị dịch vụ du lịch và lữ hành 7810103,17.0,"C00, D01, D72, D96",,
17.0,Tài chính – Ngân hàng 7340201,17.0,"A00, A01, D01, D96",,
18.0,Thương mại điện tử 7340122,17.0,"A00, A01, D01, D96",,
19.0,Truyền thông đa phương tiện 7320104,17.0,"A00, A01, C00, D01",,
20.0,Y học cổ truyền 7720115,21.0,"A00, B00, D07, D08",,
21.0,Y khoa 7720101,22.5,"A00, B00, D07, D08",,
