STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,"Cầu hầm, Đường hầm và metro 7580205-03",16.75,,,
2.0,Chuyên ngành Cầu đường bộ 7580205-01,17.1,,,
3.0,Công nghệ thông tin 7480201,24.75,,,
4.0,"Công trình giao thông công chính, Công trình giao thông đô thị 7580205-06",16.15,,,
5.0,Công nghệ Kỹ thuật Giao thông 7510104,18.0,,,
6.0,Công nghệ thông tin (CT Chất lượng cao Công nghệ thông tin Việt - Anh) 7480201QT,23.3,,,
7.0,ĐH Toán ứng dụng 7460112,16.4,,,
8.0,"Địa kỹ thuật, Kỹ thuật GIS và trắc địa công trình 7580205-08",16.1,,,
9.0,"Đường ô tô và Sân bay, Cầu - Đường ô tô và Sân bay 7580205-05",16.2,,,
10.0,"Đường bộ, Kỹ thuật giao thông đường bộ 7580205-02",17.15,,,
11.0,"Đường sẳt, Cầu - Đường sắt, Đường sắt đô thị 7580205-04",17.2,,,
12.0,Kế toán (Chương trình chất lượng cao Kế toán tổng hợp Việt - Anh) 7340301QT,19.6,,,
13.0,Kế toán 7340301,23.55,,,
14.0,Khai thác vận tải 7840101,21.95,,,
15.0,Kinh tế 7310101,22.8,,,
16.0,Kinh tế xây dựng (Chương trình chất lượng cao Kinh tế xây dựng công trình Giao thông Việt - Anh) 7580301QT,16.6,,,
17.0,Kinh tế xây dựng 7580301,20.4,,,
18.0,Kỹ thuật cơ khí (CT Chất lượng cao Cơ khí ô tô Việt - Anh) 7520103QT,20.7,,,
19.0,Kỹ thuật xây dựng công trình thủy 7580202,16.55,,,
20.0,Kỹ thuật xây dựng (CT Chất lượng cao Vật liệu và Công nghệ Xây dựng Việt - Pháp) 7580201QT-02,16.25,,,
21.0,"Kỹ thuật nhiệt (3 chuyên ngành: Kỹ thuật điện lạnh; Máy lạnh, điều hòa không khí và thông gió; Máy lạnh và thiết bị thực phẩm) 7520115",21.05,,,
22.0,Kỹ thuật xây dựng (CT tiên tiến Kỹ thuật xây dựng công trình giao thông) 7580201QT-01,16.2,,,
23.0,Kỹ thuật cơ điện tử 7520114,23.85,,,
24.0,Kỹ thuật xây dựng 7580201,17.0,,,
25.0,Kỹ thuật xây dựng công trình giao thông (Chương trình tiên tiến) - khối A1 7580205QT,16.25,,,
26.0,Kỹ thuật cơ khí 7520103,23.1,,,
27.0,Logistics và Quản lý chuỗi cung ứng 7510605,25.0,,,
28.0,Ngành Kỹ thuật môi trường 7520320,16.05,,,
29.0,Ngành Kinh tế vận tải 7840104,20.7,,,
30.0,Ngành Kỹ thuật điều khiển & Tự động hóa 7520216,24.05,,,
31.0,Quản lý xây dựng 7580302,27.2,,,
32.0,Quản trị dịch vụ du lịch và lữ hành 7810103,22.0,,,
33.0,Quản trị doanh nghiệp 7340101,23.3,,,
34.0,Tự động hóa thiết kế cầu đường 7580205-07,16.45,,,
