STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công nghệ may 7540204|00H00,27.0,,,Môn Năng khiếu hệ số 2
2.0,Công nghệ may 7540204,17.0,,,
3.0,Diễn viên kịch. điện ảnh - truyền hình 7210234,27.0,,,Môn Năng khiếu hệ số 2
4.0,Hội hoạ 7210103,27.0,,,Môn Năng khiếu hệ số 2
5.0,Piano 7210208,34.5,,,Môn Năng khiếu hệ số 2
6.0,Quản lý văn hoá 7229042|00C00,17.0,,,
7.0,Quản lý văn hoá 7229042,27.0,,,Môn Năng khiếu hệ số 2
8.0,Sư phạm Mỹ thuật Mầm non 7140222|00H00,27.0,,,Môn Năng khiếu hệ số 2
9.0,Sư phạm Âm nhạc 7140221,27.0,,,Môn Năng khiếu hệ số 2
10.0,Sư phạm Âm nhạc Mầm non 7140221|00N00,27.0,,,Môn Năng khiếu hệ số 2
11.0,Sư phạm Mỹ thuật 7140222,27.0,,,Môn Năng khiếu hệ số 2
12.0,Thanh nhạc 7210205,36.0,,,Môn Năng khiếu hệ số 2
13.0,Thiết kế đồ họa 7210403,31.0,,,Môn Năng khiếu hệ số 2
14.0,Thiết kế thời trang 7210404,29.0,,,Môn Năng khiếu hệ số 2
