STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,CNKT Đầu máy - toa xe và tàu điện Metro GTADCDM2,21.65,,9600000.0,
2.0,Công nghệ kỹ thuật Ô tô (học tại Thái Nguyên) GTADCOT3,17.55,,9600000.0,
3.0,Công nghệ thông tin (học tại Vĩnh Phúc) GTADCTT1,20.0,,9600000.0,
4.0,Công nghệ kỹ thuật Máy xây dựng GTADCMX2,16.95,,9600000.0,
5.0,Công nghệ kỹ thuật Điện tử - viễn thông (học tại Vĩnh Phúc) GTADCDT1,20.95,,9600000.0,
6.0,Công nghệ và quản lý môi trường GTADCMN2,16.0,,9600000.0,
7.0,Công nghệ kỹ thuật cơ điện tử GTADCCN2,23.5,,9600000.0,
8.0,Công nghệ thông tin GTADCTT2,25.3,,9600000.0,
9.0,Công nghệ chế tạo máy (học tại Vĩnh Phúc) GTADCCM1,17.8,,9600000.0,
10.0,Công nghệ kỹ thuật xây dựng công trình dân dụng và công nghiệp GTADCDD2,16.0,,9600000.0,
11.0,Công nghệ kỹ thuật Tàu thủy và thiết bị nổi GTADCMT2,16.3,,9600000.0,
12.0,Công nghệ kỹ thuật Điện tử - viễn thông GTADCDT2,23.8,,9600000.0,
13.0,Công nghệ kỹ thuật xây dựng cầu đường bộ (học tại Vĩnh Phúc) GTADCCD1,16.0,,9600000.0,
14.0,Công nghệ kỹ thuật xây dựng cầu đường bộ (học tại Thái Nguyên) GTADCCD3,16.0,,9600000.0,
15.0,Công nghệ kỹ thuật Ô tô (học tại Vĩnh Phúc) GTADCOT1,20.0,,9600000.0,
16.0,Công nghệ kỹ thuật xây dựng cầu đường bộ GTADCCD2,16.0,,9600000.0,
17.0,Công nghệ chế tạo máy GTADCCM2,22.05,,9600000.0,
18.0,Công nghệ kỹ thuật cơ điện tử trên ô tô GTADCCO2,21.25,,9600000.0,
19.0,Công nghệ kỹ thuật xây dựng công trình dân dụng và công nghiệp (học tại Vĩnh Phúc) GTADCDD1,16.0,,9600000.0,
20.0,Công nghệ kỹ thuật Ô tô GTADCOT2,23.75,,9600000.0,
21.0,Hạ tầng giao thông đô thị thông minh GTADCCH2,16.0,,9600000.0,
22.0,Hệ thống thông tin GTADCHT2,24.4,,9600000.0,
23.0,Kế toán doanh nghiệp GTADCKT2,23.5,,8100000.0,
24.0,Kế toán doanh nghiệp (học tại Vĩnh Phúc) GTADCKT1,20.0,,8100000.0,
25.0,Kinh tế xây dựng (học tại Vĩnh Phúc) GTADCKX1,17.65,,8100000.0,
26.0,Kinh tế xây dựng GTADCKX2,22.75,,8100000.0,
27.0,Logistics và vận tài đa phương thức GTADCVL2,23.3,,9600000.0,
28.0,Logistics và quản lý chuỗi cung ứng (học tại Vĩnh Phúc) GTADCLG1,22.5,,9600000.0,
29.0,Logistics và hạ tầng giao thông GTADCLH2,19.0,,9600000.0,
30.0,Logistics và quản lý chuỗi cung ứng GTADCLG2,25.35,,9600000.0,
31.0,Mạng máy tính và truyền thông dữ liệu GTADCTM2,24.05,,9600000.0,
32.0,Quản trị doanh nghiệp GTADCQT2,23.65,,8100000.0,
33.0,Quản lý xây dựng GTADCQX2,16.75,,8100000.0,
34.0,Quản trị Marketing GTADCQM2,24.3,,8100000.0,
35.0,Tài chính doanh nghiệp GTADCTN2,23.55,,8100000.0,
36.0,Thương mại điện tử GTADCTD2,25.35,,8100000.0,
37.0,Trí tuệ nhân tạo và giao thông thông minh GTADCTG2,19.0,,9600000.0,
