STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Báo phát thanh 604,34.72,,,
2.0,Báo mạng điện tử 607,34.98,,,
3.0,Báo truyền hình 605,35.73,,,
4.0,Báo in 602,34.47,,,
5.0,Báo mạng điện tử 607,35.48,,,
6.0,Báo mạng điện tử 607,36.98,,,
7.0,Báo phát thanh 604,36.22,,,
8.0,Báo in 602,34.97,,,
9.0,Báo truyền hình 605,37.23,,,
10.0,Báo phát thanh 604,35.22,,,
11.0,Báo truyền hình 605,35.23,,,
12.0,Chủ nghĩa xã hội khoa học 7229008,23.94,,,
13.0,Công tác xã hội 7760101,24.5,,,
14.0,Công tác xã hội 7760101,25.0,,,
15.0,Khoa học quản lý nhà nước 537,24.7,,,
16.0,Kinh tế chính trị 7310102,25.1,,,
17.0,Kinh tế chính trị 7310102,25.6,,,
18.0,Kinh tế chính trị 7310102,24.6,,,
19.0,Lịch sử 7229010,26.56,,,
20.0,Lịch sử 7229010,28.56,,,
21.0,"Ngành Xuất bản, chuyên ngành Biên tập xuất bản 801",26.03,,,
22.0,"Ngành Quan hệ công chúng, chuyên ngành Quan hệ công chúng chuyên nghiệp 615",36.52,,,
23.0,"Ngành Quan hệ quốc tế, chuyên ngành Thông tin đối ngoại 610",36.6,,,
24.0,"Ngành Quan hệ quốc tế, chuyên ngành Quan hệ chính trị và truyền thông quốc tế 611",35.02,,,
25.0,"Ngành Báo chí, chuyên ngành Báo mạng điện tử (chất lượng cao) 609",34.42,,,
26.0,"Ngành Báo chí, chuyên ngành Quay phim truyền hình 606",34.49,,,
27.0,"Ngành Chính trị học, chuyên ngành Truyền thông chính sách 538",25.32,,,
28.0,"Ngành Chính trị học, chuyên ngành Tư tưởng Hồ Chí Minh 533",24.17,,,
29.0,"Ngành Chính trị học, chuyên ngành Chính trị học phát triển 531",24.45,,,
30.0,"Ngành Kinh tế, chuyên ngành Kinh tế và Quản lý (chất lượng cao) 528",25.55,,,
31.0,"Ngành Xuất bản, chuyên ngành Xuất bản điện tử 802",25.0,,,
32.0,"Ngành Quan hệ công chúng, chuyên ngành Quan hệ công chúng chuyên nghiệp 615",38.02,,,
33.0,"Ngành Quan hệ công chúng, chuyên ngành Truyền thông marketing (chất lượng cao) 616",36.97,,,
34.0,"Ngành Quan hệ quốc tế, chuyên ngành Quan hệ quốc tế và truyền thông toàn cầu (chất lượng cao) 614",35.17,,,
35.0,"Ngành Báo chí, chuyên ngành Báo truyền hình (chất lượng cao) 608",34.8,,,
36.0,"Ngành Báo chí, chuyên ngành Báo mạng điện tử (chất lượng cao) 609",35.42,,,
37.0,"Ngành Chính trị học, chuyên ngành Chính sách công 536",23.72,,,
38.0,"Ngành Kinh tế, chuyên ngành Kinh tế và Quản lý 529",24.48,,,
39.0,"Ngành Kinh tế, chuyên ngành Quản lý kinh tế 527",26.3,,,
40.0,"Ngành Kinh tế, chuyên ngành Quản lý kinh tế 527",25.8,,,
