STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Xây dựng lực lượng CAND (phía Nam - Nam) 7310200|22D01,18.35,,,
2.0,Xây dựng lực lượng CAND (Phía Nam - Nữ) 7310200|12A01,20.75,,,
3.0,Xây dựng lực lượng CAND (Phía Bắc - Nữ) 7310200|11D01,24.72,,,
4.0,Xây dựng lực lượng CAND (Phía Bắc - Nam) 7310200|21D01,21.86,,,
5.0,Xây dựng lực lượng CAND (Phía Nam - Nữ) 7310200|12C03,23.48,,,
6.0,Xây dựng lực lượng CAND (Phía Bắc - Nữ) 7310200|11C03,24.41,,,
7.0,Xây dựng lực lượng CAND (Phía Bắc - Nữ) 7310200|11A01,22.86,,,
8.0,Xây dựng lực lượng CAND (phía Nam - Nữ) 7310200|12C00,24.23,,,
9.0,Xây dựng lực lượng CAND (phía Bắc - Nữ) 7310200|11C00,26.26,,,
10.0,Xây dựng lực lượng CAND (Phía Bắc - Nam) 7310200|21A01,21.49,,,
11.0,Xây dựng lực lượng CAND (Phía Bắc - Nam) 7310200|22C03,22.74,,,
12.0,Xây dựng lực lượng CAND (Phía Bắc - Nam) 7310200|21C03,21.95,,,
13.0,Xây dựng lực lượng CAND (Phía Nam - Nữ) 7310200|12D01,23.15,,,
14.0,Xây dựng lực lượng CAND (phía Nam - Nam) 7310200|22C00,21.56,,,
15.0,Xây dựng lực lượng CAND (Phía Bắc - Nam) 7310200|21C00,22.93,,,
