STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Chính trị học 7310201,24.05,D01,,
2.0,Chính trị học 7310201,27.05,"C14, C20",,
3.0,Chính trị học 7310201,26.05,C00,,
4.0,Hệ thống thông tin 7480104,23.9,"A00, A01, D01, D10",,
5.0,Kinh tế 7310101,24.6,"A00, A01, A07, D01",,
6.0,Lưu trữ học 7320303,26.25,"C19, C20",,
7.0,Lưu trữ học 7320303,23.25,"C00, D01",,
8.0,Ngành Luật 7380101,27.8,C00,,
9.0,Ngành Luật 7380101,24.8,"A00, A01, D01",,
10.0,Ngôn ngữ Anh 7220201,25.5,"D01, D14, D15",,
11.0,Quản trị dịch vụ du lịch và lữ hành 7810103,27.2,C00,,
12.0,Quản trị nhân lực 7340404,24.8,"A00, A01, D01",,
13.0,Quản lý văn hoá 7229042,26.3,C00,,
14.0,Quản trị văn phòng 7340406,25.1,"A01, D01, D14",,
15.0,Quản lý văn hoá 7229042,24.3,"D01, D14, D15",,
16.0,Quản trị nhân lực 7340404,27.8,C00,,
17.0,Quản trị dịch vụ du lịch và lữ hành 7810103,25.2,"D14, D15",,
18.0,Quản lý nhà nước 7310205,26.4,C00,,
19.0,Quản lý nhà nước 7310205,24.4,"A01, D01, D15",,
20.0,Quản trị văn phòng 7340406,27.1,C00,,
21.0,Thông tin - thư viện 7320201,25.6,"C00, C20",,
22.0,Thông tin - thư viện 7320201,23.6,"A01, D01",,
23.0,Văn hoá học 7229040,26.8,C00,,
24.0,Văn hoá học 7229040,24.8,"D01, D14, D15",,
25.0,Xây dựng Đảng và Chính quyền nhà nước 7310202,26.9,C00,,
26.0,Xây dựng Đảng và Chính quyền nhà nước 7310202,27.9,C19,,
27.0,Xây dựng Đảng và Chính quyền nhà nước 7310202,24.9,"D01, D14",,
