STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Kế toán 7340301,25.84,"A00, A01, D01, D07",,
2.0,Kinh tế đối ngoại CLC 7310106_1,32.85,"A01, D01, D07, D10",,
3.0,Kinh tế số 7310109,25.43,"A00, A01, D01, D07",,
4.0,Kinh tế phát triển 7310105,25.43,"A00, A01, A02, D01",,
5.0,Kinh tế 7310101,24.83,"A00, A01, D01, D07",,
6.0,Kinh tế quốc tế 7310106,25.01,"A00, A01, D01, D07",,
7.0,Luật kinh tế 7380107,27.43,"A00, C00, D01, D09",,
8.0,Ngôn ngữ Anh 7220201,33.05,"A01, D01, D07, D10",,
9.0,Quản lý nhà nước 7310205,25.57,"A01, C00, D01, D09",,
10.0,Quản trị Kinh doanh 7340101,24.68,"A00, A01, D01, D07",,
11.0,"Quản trị kinh doanh (Liên kết với Đại học CityU, Hoa Kỳ) 7340101_1",33.33,"A01, D01, D07, D10",,
12.0,Tài chính – Ngân hàng 7340201,25.26,"A00, A01, D01, D07",,
13.0,Tài chính ngân hàng (chuyên ngành Tài chính doanh nghiệp) 7340201_1,33.3,"A01, D01, D07, D10",,
