STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công tác xã hội 7760101,15.0,,,
2.0,Công nghệ thông tin 7480201,15.0,,,
3.0,Giới và Phát triển* 7310399,15.0,,,
4.0,Kinh tế 7310101,17.0,,,
5.0,Kinh tế 7310101,16.0,,,
6.0,Luật kinh tế 7380107,16.0,,,
7.0,Ngành Luật 7380101,16.0,,,
8.0,Quản trị doanh nghiệp 7340101,19.5,,,
9.0,Quản trị dịch vụ du lịch và lữ hành 7810103,17.0,,,
10.0,Quản trị doanh nghiệp 7340101,18.5,,,
11.0,Tâm lý học 7310401,15.0,,,
12.0,Truyền thông đa phương tiện 7320104,19.0,,,
13.0,Xã hội học 7310301,15.0,,,
