STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Hàn Quốc học HQT08-01,26.7,,,
2.0,Hàn Quốc học HQT08-01,28.2,,,
3.0,Hoa Kỳ học HQT08-02,26.4,,,
4.0,Hoa Kỳ học HQT08-02,27.9,,,
5.0,Kinh doanh quốc tế HQT06,25.8,,,
6.0,Kinh tế quốc tế HQT03,26.76,,,
7.0,Kinh doanh quốc tế HQT06,26.8,,,
8.0,Kinh tế quốc tế HQT03,25.76,,,
9.0,Luật thương mại quốc tế HQT07,26.7,,,
10.0,Luật quốc tế HQT04,25.52,,,
11.0,Luật quốc tế HQT04,26.52,,,
12.0,Luật thương mại quốc tế HQT07,28.2,,,
13.0,Luật thương mại quốc tế HQT07,25.7,,,
14.0,Luật quốc tế HQT04,28.02,,,
15.0,Ngôn ngữ Anh HQT02,35.99,,,
16.0,Nhật Bản học HQT08-03,26.27,,,
17.0,Nhật Bản học HQT08-03,27.77,,,
18.0,Nhật Bản học HQT08-03,25.27,,,
19.0,Quan hệ quốc tế HQT01,26.8,,,
20.0,Quan hệ quốc tế HQT01,28.3,,,
21.0,Quan hệ quốc tế HQT01,25.8,,,
22.0,Trung Quốc học HQT08-04,26.92,,,
23.0,Trung Quốc học HQT08-04,28.42,,,
24.0,Trung Quốc học HQT08-04,25.92,,,
25.0,Truyền thông quốc tế HQT05,26.96,,,
26.0,Truyền thông quốc tế HQT05,28.46,,,
27.0,Truyền thông quốc tế HQT05,25.96,,,
