STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Luật (Nữ - Phía Nam) 7380101|12D01,20.2,,,Nữ - phía Nam - D01
2.0,Luật (Nữ - Phía Bắc) 7380101|11D01,21.7,,,Nữ - phía Bắc - D00
3.0,Luật (Nam - Phía Nam) 7380101|22C00,22.25,,,Nam - phía Nam - C01
4.0,Luật (Nam - Phía Bắc) 7380101|21C00,24.0,,,Nam - phía Bắc - C00
5.0,Luật (Nam - Phía Nam) 7380101|22A01,21.3,,,Nam - phía Nam - A01
6.0,Luật (Nữ - Phía Nam) 7380101|12A00,20.2,,,Nữ - phía Nam - A00
7.0,Luật (Nữ - Phía Bắc) 7380101|11A00,20.35,,,Nữ - phía Bắc - A00
8.0,Luật (Nam - Phía Nam) 7380101|22A00,20.0,,,Nam - phía Nam - A00
9.0,Luật (Nam - Phía Nam) 7380101|22D01,20.3,,,Nam - phía Nam - D01
10.0,Luật (Nam - Phía Bắc) 7380101|21D01,20.0,,,Nam - phía Bắc - D01
11.0,Luật (Nữ - Phía Nam) 7380101|12C00,24.5,,,Nữ - phía Nam - C00
12.0,Luật (Nữ - Phía Bắc) 7380101|11C00,26.0,,,Nữ - phía Bắc - C00
13.0,Luật (Nam - Phía Bắc) 7380101|21A01,20.2,,,Nam - phía Bắc - A01
14.0,Luật (Nữ - Phía Nam) 7380101|12A01,20.25,,,Nữ - phía Nam - A01
15.0,Luật (Nữ - Phía Bắc) 7380101|11A01,20.4,,,Nữ - phía Bắc - A01
16.0,Ngành Luật 7380101,20.55,,,Nam - phía Bắc - A00
