STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Luật (Nữ - Phía Nam) 7380101|12A01,21.75,,,
2.0,Luật (Nam - Phía Bắc) 7380101|21A01,21.15,,,
3.0,Luật (Nữ - Phía Bắc) 7380101|11C00,27.31,,,
4.0,Luật (Nữ - Phía Nam) 7380101|12D01,23.45,,,
5.0,Luật (Nam - Phía Nam) 7380101|22A00,22.0,,,
6.0,Luật (Nam - Phía Bắc) 7380101|21D01,22.65,,,
7.0,Luật (Nữ - Phía Nam) 7380101|12C00,26.63,,,
8.0,Luật (Nữ - Phía Bắc) 7380101|11D01,24.92,,,
9.0,Luật (Nam - Phía Bắc) 7380101|21C00,26.2,,,
10.0,Luật (Nam - Phía Bắc) 7380101|21A00,21.5,,,
11.0,Luật (Nam - Phía Nam) 7380101|22C00,25.0,,,
12.0,Luật (Nữ - Phía Nam) 7380101|12A00,23.79,,,
13.0,Luật (Nữ - Phía Bắc) 7380101|11A01,21.5,,,
14.0,Luật (Nam - Phía Nam) 7380101|22A01,21.35,,,
15.0,Luật (Nam - Phía Nam) 7380101|22D01,21.7,,,
16.0,Luật (Nữ - Phía Bắc) 7380101|11A00,23.75,,,
