STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Hải quan & Logistics 7340201C06,31.17,,,Điểm Toán >=8.8
2.0,Hệ thống thông tin 7340405,24.85,,,Điểm Toán >=8.6
3.0,Kế toán doanh nghiệp 7340302C21,30.57,,,Điểm Toán >=9
4.0,Kế toán 7340301,26.2,,,
5.0,Kế toán (hệ Đại trà) 7340301D,26.2,,,
6.0,Kiểm toán 7340302C22,31.0,,,Điểm Toán >=9
7.0,Kinh tế 7310101,24.7,,,
8.0,Ngôn ngữ Anh 7220201,32.7,,,Điểm Toán >=8.8
9.0,Phân tích tài chính 7340201C09,31.8,,,Điểm Toán >=8.2
10.0,Quản trị doanh nghiệp 7340101,25.5,,,Điểm Toán >=8.8
11.0,Tài chính – Ngân hàng 7340201,25.0,,,
12.0,Tài chính doanh nghiệp 7340201C11,30.17,,,Điểm Toán >=9.4
13.0,Tài chính ngân hàng 7340201D,25.0,,,
